Epoch	SuccessRate	AverageLossPi	AverageLossQ	TotalEnvInteracts
1	0.05000000074505806	0.36104733	0.0038282825	80000
2	0.05000000074505806	0.7572185	0.0025721402	160000
3	0.0062500000931322575	1.1717727	0.004466587	240000
4	0.02500000037252903	1.5634935	0.006067672	320000
5	0.03125	1.9310149	0.010581405	400000
6	0.13125000894069672	2.2968554	0.017962674	480000
7	0.1875	2.626804	0.027047344	560000
8	0.20625001192092896	2.884927	0.050309956	640000
9	0.38749998807907104	3.091733	0.08818155	720000
10	0.5	3.2047458	0.1243832	800000
11	0.5375000238418579	3.2778502	0.16854338	880000
12	0.5375000238418579	3.3371718	0.18248767	960000
13	0.625	3.3487375	0.19260935	1040000
14	0.625	3.3497558	0.18470998	1120000
15	0.6937500238418579	3.320184	0.17113729	1200000
16	0.737500011920929	3.293834	0.16191901	1280000
17	0.800000011920929	3.3213923	0.14621373	1360000
18	0.7625000476837158	3.3209572	0.14942579	1440000
19	0.737500011920929	3.2767856	0.15728101	1520000
20	0.8250000476837158	3.2634182	0.16275544	1600000
21	0.875	3.259952	0.16445874	1680000
22	0.862500011920929	3.261705	0.15663187	1760000
23	0.8812500238418579	3.2423618	0.15524149	1840000
24	0.875	3.2541738	0.16114892	1920000
25	0.8937499523162842	3.2049024	0.16617873	2000000
26	0.8812500238418579	3.1797044	0.1687203	2080000
27	0.8500000238418579	3.1642249	0.17360608	2160000
28	0.8125	3.1413946	0.17426354	2240000
29	0.8812499642372131	3.1003244	0.17637011	2320000
30	0.875	3.054607	0.18382329	2400000
31	0.893750011920929	3.0157466	0.18413503	2480000
32	0.8687499761581421	3.0112844	0.1883989	2560000
33	0.8687499761581421	2.9695299	0.18806009	2640000
34	0.8937499523162842	2.9308164	0.18510784	2720000
35	0.9375	2.8815277	0.19616166	2800000
36	0.875	2.834261	0.20476398	2880000
37	0.8374999761581421	2.7864037	0.1914151	2960000
38	0.875	2.7354043	0.18693914	3040000
39	0.8500000238418579	2.703772	0.22094959	3120000
40	0.8187500238418579	2.6547475	0.20445603	3200000
41	0.9375	2.6215851	0.21102376	3280000
42	0.8812500238418579	2.6007562	0.20508613	3360000
43	0.9624999761581421	2.568542	0.21493702	3440000
44	0.9312499761581421	2.5479398	0.22724544	3520000
45	0.8812500238418579	2.5089488	0.2371321	3600000
46	0.918749988079071	2.4756608	0.22846691	3680000
47	0.8999999761581421	2.4529445	0.22736652	3760000
48	0.856249988079071	2.4137714	0.2237709	3840000
49	0.9125000238418579	2.3958952	0.25070179	3920000
50	0.90625	2.3769255	0.24429415	4000000
