Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageEntropy	TotalEnvInteracts
1	0.05000000074505806	-0.35284108	0.0027870925	-2.734644	80000
2	0.05000000074505806	-0.14759696	0.0029979348	-2.7340832	160000
3	0.0062500000931322575	0.05384569	0.004691283	-2.7343237	240000
4	0.02500000037252903	0.25056437	0.0077120773	-2.7305317	320000
5	0.02500000037252903	0.4476542	0.012048164	-2.7264123	400000
6	0.0625	0.6422545	0.019526703	-2.720981	480000
7	0.04374999925494194	0.8285356	0.033687547	-2.7143164	560000
8	0.11249999701976776	1.0156653	0.05688424	-2.7001483	640000
9	0.13750000298023224	1.203752	0.08801064	-2.6865666	720000
10	0.16874998807907104	1.4023362	0.1281262	-2.6677105	800000
11	0.17499999701976776	1.5618174	0.17112388	-2.6456885	880000
12	0.3125	1.7059087	0.19397481	-2.624557	960000
13	0.35625001788139343	1.8132144	0.22605799	-2.6023438	1040000
14	0.41875001788139343	1.9059627	0.2542249	-2.582027	1120000
15	0.4437499940395355	1.9811872	0.25870028	-2.561602	1200000
16	0.4375	2.0361114	0.27168316	-2.5451367	1280000
17	0.5	2.097625	0.26573998	-2.5292497	1360000
18	0.44999998807907104	2.1211812	0.26770568	-2.5145128	1440000
19	0.4625000059604645	2.1362197	0.27238652	-2.5008855	1520000
20	0.518750011920929	2.1543071	0.27222982	-2.4864259	1600000
21	0.6625000238418579	2.1751723	0.2705681	-2.474648	1680000
22	0.6625000238418579	2.1878066	0.26049325	-2.4615545	1760000
23	0.6375000476837158	2.168553	0.2603086	-2.4478378	1840000
24	0.6375000476837158	2.1690445	0.25949365	-2.4390118	1920000
25	0.6812499761581421	2.147185	0.25810426	-2.425878	2000000
26	0.75	2.1697524	0.25561428	-2.4100366	2080000
27	0.7374999523162842	2.1416993	0.25949004	-2.3941436	2160000
28	0.6687500476837158	2.1392972	0.26555207	-2.373405	2240000
29	0.7437500357627869	2.1031919	0.27152878	-2.3590777	2320000
30	0.71875	2.084023	0.28033832	-2.3431845	2400000
31	0.7749999761581421	2.077376	0.2864409	-2.3288844	2480000
32	0.75	2.0684083	0.29935744	-2.316582	2560000
