Epoch	SuccessRate	AverageLossPi	AverageLossQ	TotalEnvInteracts
1	0.800000011920929	0.7586365	0.1727822	1000
2	0.6000000238418579	0.8665575	0.05260602	2000
3	0.8999999761581421	0.92110246	0.042636346	3000
4	1.0	0.9122949	0.045061626	4000
5	1.0	0.8852357	0.0499121	5000
6	1.0	0.8337757	0.051997982	6000
7	1.0	0.78406215	0.05401711	7000
8	1.0	0.740221	0.05581336	8000
9	1.0	0.6837373	0.05675836	9000
10	1.0	0.63437414	0.055957895	10000
11	1.0	0.6026424	0.05705372	11000
12	1.0	0.574963	0.057404224	12000
13	1.0	0.55042166	0.058873072	13000
14	1.0	0.538907	0.059358034	14000
15	1.0	0.5293644	0.06139388	15000
16	1.0	0.5162813	0.059832927	16000
17	1.0	0.5092966	0.062405724	17000
18	1.0	0.5101317	0.062274065	18000
19	1.0	0.49689403	0.06329279	19000
20	1.0	0.49042618	0.06693263	20000
21	1.0	0.4904059	0.06883898	21000
22	1.0	0.4866874	0.06852409	22000
23	1.0	0.47539672	0.069307245	23000
24	1.0	0.4821175	0.0682794	24000
25	1.0	0.4752637	0.070895575	25000
26	1.0	0.4703568	0.06814093	26000
27	1.0	0.466717	0.070028745	27000
28	1.0	0.46321258	0.07143375	28000
29	1.0	0.45568803	0.07196422	29000
30	1.0	0.44798663	0.07231751	30000
31	1.0	0.44962844	0.071568176	31000
32	1.0	0.4429429	0.070203565	32000
33	1.0	0.44162995	0.07289351	33000
34	1.0	0.44677016	0.07658521	34000
35	1.0	0.44394088	0.0738042	35000
36	1.0	0.44100717	0.07508848	36000
37	1.0	0.4332679	0.07388274	37000
38	1.0	0.43916112	0.07536836	38000
39	1.0	0.4360025	0.07643163	39000
40	1.0	0.42985594	0.074949	40000
41	1.0	0.43214244	0.07736375	41000
42	1.0	0.43102813	0.07767935	42000
43	1.0	0.4297409	0.077016555	43000
44	1.0	0.4232623	0.08006634	44000
45	1.0	0.41486755	0.08028856	45000
46	1.0	0.4135907	0.081991635	46000
47	1.0	0.4118787	0.07867153	47000
48	1.0	0.41499358	0.08146529	48000
49	1.0	0.41013217	0.08037386	49000
50	1.0	0.409308	0.08048684	50000
