Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.02500000037252903	0.49083844	0.0070108976	0.0	40000
2	0.0	0.9656801	0.007485714	0.0	80000
3	0.0	1.4487252	0.011765839	0.0	120000
4	0.012500000186264515	1.8722398	0.015021899	0.0	160000
5	0.0	2.2914083	0.020046055	0.0	200000
6	0.0	2.706641	0.02898913	0.0	240000
7	0.0	3.1199954	0.04568041	0.0	280000
8	0.0	3.519707	0.060472146	0.0	320000
9	0.02500000037252903	3.9097993	0.07921779	0.0	360000
10	0.012500000186264515	4.3497033	0.108589746	0.0	400000
11	0.05000000074505806	4.77646	0.13411444	0.0	440000
12	0.03750000149011612	5.203177	0.17685856	0.0	480000
13	0.05000000074505806	5.543527	0.22532539	0.0	520000
14	0.17499999701976776	5.8982687	0.28399792	0.0	560000
15	0.21250000596046448	6.239946	0.3431507	0.0	600000
16	0.1875	6.4802785	0.38407195	0.0	640000
17	0.3125	6.693927	0.45868778	0.0	680000
18	0.32499998807907104	6.933358	0.4852911	0.0	720000
19	0.3375000059604645	7.1594687	0.53376186	0.0	760000
20	0.21250000596046448	7.367342	0.55866486	0.0	800000
21	0.44999998807907104	7.537956	0.6194572	0.0	840000
22	0.4624999761581421	7.7225227	0.6527485	0.0	880000
23	0.36250001192092896	7.9052796	0.6836477	0.0	920000
24	0.4125000238418579	8.082409	0.7416233	0.0	960000
25	0.4749999940395355	8.2507305	0.8225162	0.0	1000000
26	0.32499998807907104	8.435998	0.85533863	0.0	1040000
27	0.48750001192092896	8.522346	0.9613368	0.0	1080000
28	0.5874999761581421	8.702674	1.0716747	0.0	1120000
29	0.4625000059604645	8.857979	1.1308275	0.0	1160000
30	0.46250003576278687	9.007343	1.2274652	0.0	1200000
31	0.4375	9.148094	1.2813802	0.0	1240000
32	0.625	9.31518	1.3945209	0.0	1280000
33	0.637499988079071	9.498777	1.5036227	0.0	1320000
34	0.5874999761581421	9.650918	1.6070813	0.0	1360000
35	0.7250000238418579	9.8122015	1.6948873	0.0	1400000
36	0.6499999761581421	10.011759	1.8303993	0.0	1440000
37	0.5375000238418579	10.251202	1.9453384	0.0	1480000
38	0.612500011920929	10.5475645	2.058559	0.0	1520000
39	0.6625000238418579	10.826205	2.253372	0.0	1560000
40	0.6124999523162842	11.121367	2.3819869	0.0	1600000
41	0.6500000357627869	11.446887	2.4737723	0.0	1640000
42	0.800000011920929	11.851566	2.553033	0.0	1680000
43	0.5625	12.255963	2.754033	0.0	1720000
44	0.6625000238418579	12.634425	2.8720634	0.0	1760000
45	0.6875	12.965703	3.0052326	0.0	1800000
46	0.737500011920929	13.333635	3.2097886	0.0	1840000
47	0.7000000476837158	13.654803	3.4199097	0.0	1880000
48	0.637499988079071	14.129092	3.5612638	0.0	1920000
49	0.737500011920929	14.467617	3.7267704	0.0	1960000
50	0.699999988079071	14.797531	3.9220967	0.0	2000000
51	0.7749999761581421	15.113388	4.049397	0.0	2040000
52	0.75	15.441092	4.2383885	0.0	2080000
53	0.699999988079071	15.810639	4.3529835	0.0	2120000
54	0.7749999761581421	16.17773	4.5856667	0.0	2160000
55	0.7875000238418579	16.502687	4.6641216	0.0	2200000
56	0.824999988079071	16.681856	4.8378634	0.0	2240000
57	0.6875	16.954218	4.8803205	0.0	2280000
58	0.637499988079071	17.184875	4.941382	0.0	2320000
59	0.824999988079071	17.426813	5.0774875	0.0	2360000
60	0.8125	17.68011	5.0427713	0.0	2400000
61	0.7124999761581421	17.89683	5.1173635	0.0	2440000
62	0.762499988079071	18.1062	5.0944543	0.0	2480000
63	0.800000011920929	18.242083	5.136925	0.0	2520000
64	0.824999988079071	18.48372	5.191849	0.0	2560000
65	0.8374999761581421	18.62346	5.159959	0.0	2600000
66	0.875	18.867487	5.2192683	0.0	2640000
67	0.7250000238418579	19.12601	5.1921315	0.0	2680000
68	0.824999988079071	19.276838	5.1879153	0.0	2720000
69	0.7875000238418579	19.527582	5.1632905	0.0	2760000
70	0.699999988079071	19.703754	5.2588787	0.0	2800000
71	0.8374999761581421	19.866436	5.2232904	0.0	2840000
72	0.7749999761581421	19.988747	5.165053	0.0	2880000
73	0.8250000476837158	20.0718	5.1330695	0.0	2920000
74	0.800000011920929	20.266256	5.1078916	0.0	2960000
75	0.8125	20.317005	5.1796074	0.0	3000000
76	0.6749999523162842	20.381704	5.15423	0.0	3040000
77	0.7250000238418579	20.505793	5.098374	0.0	3080000
78	0.75	20.606009	5.0109477	0.0	3120000
79	0.8500000238418579	20.695936	5.006924	0.0	3160000
80	0.8125	20.86282	5.0259337	0.0	3200000
81	0.887499988079071	20.976742	4.929759	0.0	3240000
82	0.824999988079071	21.004026	4.8661666	0.0	3280000
83	0.7999999523162842	21.130743	4.787282	0.0	3320000
84	0.8374999761581421	21.154032	4.652941	0.0	3360000
85	0.824999988079071	21.19324	4.5374722	0.0	3400000
86	0.8500000238418579	21.253897	4.4804893	0.0	3440000
87	0.7124999761581421	21.24186	4.4573097	0.0	3480000
88	0.8624999523162842	21.22654	4.4227853	0.0	3520000
89	0.8500000238418579	21.215649	4.3314962	0.0	3560000
90	0.9249999523162842	21.237974	4.1653433	0.0	3600000
91	0.8125	21.219831	4.160099	0.0	3640000
92	0.75	21.173094	4.0954914	0.0	3680000
93	0.8624999523162842	21.159622	4.060945	0.0	3720000
94	0.7875000238418579	21.16335	4.0526924	0.0	3760000
95	0.7999999523162842	21.252691	4.007159	0.0	3800000
96	0.6875	21.197176	4.0750947	0.0	3840000
97	0.8500000238418579	21.17697	3.964508	0.0	3880000
98	0.8500000238418579	21.165813	3.8755496	0.0	3920000
99	0.8374999761581421	21.137968	3.990146	0.0	3960000
100	0.949999988079071	21.190042	3.9948926	0.0	4000000
101	0.8250000476837158	21.181726	3.9684658	0.0	4040000
102	0.887499988079071	21.286352	3.9954154	0.0	4080000
103	0.7124999761581421	21.319862	4.0375123	0.0	4120000
104	0.862500011920929	21.370016	4.0708165	0.0	4160000
105	0.875	21.342031	3.990821	0.0	4200000
106	0.7749999761581421	21.344995	4.05919	0.0	4240000
