Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageEntropy	TotalEnvInteracts
1	0.012500000186264515	-0.29341877	0.005622633	-2.7344851	40000
2	0.0	-0.061100967	0.0042730356	-2.7340457	80000
3	0.0	0.19056714	0.0071743927	-2.7349098	120000
4	0.0	0.4124569	0.010387472	-2.7334445	160000
5	0.0	0.63853395	0.015298836	-2.7228377	200000
6	0.012500000186264515	0.8579211	0.020977782	-2.7144122	240000
7	0.0	1.0395195	0.024567792	-2.7134411	280000
8	0.012500000186264515	1.2473447	0.03231443	-2.7093794	320000
9	0.0	1.4483773	0.04103079	-2.703939	360000
10	0.012500000186264515	1.6692773	0.049776357	-2.6966562	400000
11	0.012500000186264515	1.8812941	0.06786259	-2.6864812	440000
12	0.05000000074505806	2.087876	0.080541685	-2.6755676	480000
13	0.02500000037252903	2.2987058	0.097885445	-2.6674576	520000
14	0.10000000149011612	2.5115921	0.12445937	-2.65087	560000
15	0.10000000149011612	2.7080557	0.14614756	-2.6362514	600000
16	0.125	2.8833797	0.17959891	-2.6181743	640000
17	0.25	3.0681427	0.21648297	-2.5998871	680000
18	0.13750000298023224	3.225787	0.23435931	-2.5845003	720000
19	0.21250000596046448	3.4171748	0.27669305	-2.5708895	760000
20	0.13750000298023224	3.5679698	0.30892807	-2.5598223	800000
21	0.20000000298023224	3.7430472	0.34071577	-2.5433452	840000
22	0.2875000238418579	3.899519	0.38041633	-2.5329027	880000
23	0.3500000238418579	4.03587	0.42497906	-2.5258873	920000
24	0.2874999940395355	4.1880674	0.46128082	-2.5157	960000
25	0.2875000238418579	4.303802	0.5099808	-2.502317	1000000
26	0.20000000298023224	4.47593	0.5314118	-2.499047	1040000
27	0.3125	4.56666	0.5898529	-2.4879088	1080000
28	0.4124999940395355	4.708232	0.6303005	-2.4735672	1120000
29	0.38749998807907104	4.8169026	0.66586053	-2.465243	1160000
30	0.375	4.912861	0.70248836	-2.456892	1200000
31	0.4000000059604645	5.020779	0.75564027	-2.4525883	1240000
32	0.4125000238418579	5.144016	0.7890198	-2.4460409	1280000
33	0.36250001192092896	5.2445297	0.8317679	-2.4297135	1320000
34	0.36250001192092896	5.3446717	0.87440294	-2.4251602	1360000
35	0.4124999940395355	5.4450245	0.91083395	-2.421872	1400000
