Epoch	SuccessRate	AverageLossPi	AverageLossQ	TotalEnvInteracts
1	0.0	1.2181916	0.08701551	160000
2	0.0	1.900748	0.06840779	320000
3	0.0	2.4755394	0.08434274	480000
4	0.0062500000931322575	2.9632487	0.09624367	640000
5	0.0062500000931322575	3.4024508	0.10087265	800000
6	0.0	3.7748895	0.103284106	960000
7	0.0	4.184028	0.10584012	1120000
8	0.0062500000931322575	4.5493417	0.11237257	1280000
9	0.0062500000931322575	4.886469	0.1182689	1440000
10	0.0	5.2420545	0.12442581	1600000
11	0.0	5.503687	0.13129064	1760000
12	0.01875000074505806	5.790481	0.1393864	1920000
13	0.012500000186264515	6.061422	0.14715771	2080000
14	0.0	6.279053	0.15821347	2240000
15	0.01875000074505806	6.5040245	0.16851825	2400000
16	0.012500000186264515	6.6550617	0.177913	2560000
17	0.0	6.8695974	0.18647407	2720000
18	0.0062500000931322575	7.063199	0.19394745	2880000
19	0.012500000186264515	7.275698	0.20703658	3040000
20	0.01875000074505806	7.41731	0.22035578	3200000
21	0.02500000037252903	7.5117755	0.2304829	3360000
22	0.012500000186264515	7.6963143	0.24172376	3520000
23	0.012500000186264515	7.7734933	0.25801036	3680000
24	0.012500000186264515	7.8515415	0.27813435	3840000
25	0.0062500000931322575	7.9427066	0.28259858	4000000
26	0.02500000037252903	7.996666	0.28803015	4160000
27	0.05000000074505806	8.062995	0.3001268	4320000
28	0.0062500000931322575	8.153536	0.31163025	4480000
29	0.03125	8.209347	0.3273507	4640000
30	0.05000000074505806	8.293621	0.33506125	4800000
31	0.02500000037252903	8.291847	0.34103155	4960000
32	0.03750000149011612	8.351305	0.35517865	5120000
33	0.04375000298023224	8.343025	0.35836518	5280000
34	0.03750000149011612	8.331798	0.3608821	5440000
35	0.03750000149011612	8.422311	0.36362436	5600000
36	0.10625000298023224	8.403816	0.37401453	5760000
37	0.02500000037252903	8.477462	0.38892028	5920000
38	0.05625000223517418	8.461683	0.40803307	6080000
39	0.05624999850988388	8.487176	0.4047279	6240000
40	0.04375000298023224	8.461463	0.40796784	6400000
41	0.07500000298023224	8.484852	0.4298893	6560000
42	0.03125	8.478955	0.4247631	6720000
43	0.0625	8.509447	0.4359171	6880000
44	0.05000000074505806	8.505263	0.45624796	7040000
45	0.08124999701976776	8.503278	0.45714718	7200000
46	0.08124999701976776	8.528348	0.45838934	7360000
47	0.06875000149011612	8.553348	0.47409457	7520000
48	0.07500000298023224	8.513053	0.4730494	7680000
49	0.15000000596046448	8.524998	0.48656568	7840000
50	0.13125000894069672	8.504996	0.48446363	8000000
51	0.11875000596046448	8.506156	0.4903825	8160000
52	0.10000000149011612	8.504814	0.48699135	8320000
53	0.10625000298023224	8.512962	0.5013323	8480000
54	0.11249999701976776	8.504145	0.5102611	8640000
55	0.10625000298023224	8.478046	0.504217	8800000
56	0.15000000596046448	8.492894	0.5237329	8960000
57	0.13750000298023224	8.496035	0.52791166	9120000
58	0.08750000596046448	8.509757	0.5353496	9280000
59	0.125	8.531321	0.53826576	9440000
60	0.13750000298023224	8.544281	0.53981924	9600000
61	0.11875000596046448	8.532875	0.5485422	9760000
62	0.07500000298023224	8.498861	0.55632603	9920000
63	0.13750000298023224	8.489374	0.5528873	10080000
64	0.14374999701976776	8.521723	0.5452888	10240000
65	0.08750000596046448	8.538166	0.5703922	10400000
66	0.15000000596046448	8.525064	0.5674331	10560000
67	0.18125000596046448	8.534781	0.5654508	10720000
68	0.11250000447034836	8.55806	0.5665856	10880000
69	0.13750000298023224	8.54057	0.58789235	11040000
70	0.15625	8.546383	0.58509463	11200000
71	0.17500001192092896	8.57384	0.5873042	11360000
72	0.13750000298023224	8.609834	0.59503746	11520000
73	0.18125000596046448	8.575539	0.6016647	11680000
74	0.10000000149011612	8.56325	0.59959716	11840000
75	0.16250000894069672	8.591469	0.6025028	12000000
76	0.1875	8.621984	0.62187356	12160000
77	0.15625	8.586081	0.5956593	12320000
78	0.15625	8.571355	0.6140211	12480000
79	0.09375	8.562705	0.6059298	12640000
80	0.18125000596046448	8.6047535	0.5944053	12800000
81	0.13124999403953552	8.615362	0.59931785	12960000
82	0.15000000596046448	8.626391	0.6005026	13120000
83	0.14374999701976776	8.655753	0.607212	13280000
84	0.21250000596046448	8.647504	0.61800575	13440000
