Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.0	1.0343928	0.10829495	0.0	160000
2	0.0	2.0283275	0.086055465	0.0	320000
3	0.0	2.6030772	0.104696624	0.0	480000
4	0.0	3.0303645	0.118538894	0.0	640000
5	0.0	3.5665557	0.14226165	0.0	800000
6	0.0	4.1198983	0.17426239	0.0	960000
7	0.0	4.6287236	0.2066835	0.0	1120000
8	0.0	5.0793276	0.24070184	0.0	1280000
9	0.0	5.5158267	0.2758316	0.0	1440000
10	0.0	5.897504	0.31571826	0.0	1600000
11	0.0	6.322725	0.35108706	0.0	1760000
12	0.0062500000931322575	6.6590924	0.38555104	0.0	1920000
13	0.0	7.024419	0.41766658	0.0	2080000
14	0.0	7.373388	0.44432762	0.0	2240000
15	0.0	7.6917987	0.4761599	0.0	2400000
16	0.0	7.949465	0.51330715	0.0	2560000
17	0.0062500000931322575	8.268434	0.5406308	0.0	2720000
18	0.0062500000931322575	8.466297	0.5730829	0.0	2880000
19	0.0	8.754493	0.592255	0.0	3040000
20	0.0	8.91394	0.6153916	0.0	3200000
21	0.0	9.167699	0.66530883	0.0	3360000
22	0.0	9.362456	0.67286885	0.0	3520000
23	0.0	9.536099	0.7265105	0.0	3680000
24	0.0	9.703594	0.7492015	0.0	3840000
25	0.0062500000931322575	9.87296	0.771503	0.0	4000000
26	0.0062500000931322575	10.0694275	0.83243054	0.0	4160000
27	0.0062500000931322575	10.235956	0.85634327	0.0	4320000
28	0.0	10.4336	0.8736464	0.0	4480000
29	0.0062500000931322575	10.568189	0.9082277	0.0	4640000
30	0.0	10.770877	0.94630724	0.0	4800000
31	0.0062500000931322575	10.923733	0.96827835	0.0	4960000
32	0.0	11.016383	0.9815957	0.0	5120000
33	0.012500000186264515	11.159416	1.0186381	0.0	5280000
34	0.0	11.263092	1.017875	0.0	5440000
35	0.0	11.4203825	1.0512569	0.0	5600000
36	0.0	11.519296	1.0854732	0.0	5760000
37	0.0	11.635124	1.0945699	0.0	5920000
38	0.0	11.682733	1.1225888	0.0	6080000
39	0.0062500000931322575	11.816943	1.1743767	0.0	6240000
40	0.0	12.002754	1.1956081	0.0	6400000
41	0.0	12.071062	1.2240407	0.0	6560000
42	0.0	12.218995	1.2469683	0.0	6720000
43	0.012500000186264515	12.358841	1.300122	0.0	6880000
44	0.012500000186264515	12.421483	1.3229563	0.0	7040000
