Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.0	0.6400636	0.05065723	0.6281005	160000
2	0.0	1.0429688	0.042798866	0.73643047	320000
3	0.0	1.4849666	0.046181716	0.7879533	480000
4	0.0	1.8945496	0.04791544	0.89883536	640000
5	0.0	2.295289	0.049045738	0.97119397	800000
6	0.0	2.6825192	0.04700899	1.0045655	960000
7	0.0	3.0426025	0.048159644	1.0418683	1120000
8	0.0	3.3848746	0.058663916	0.86140686	1280000
9	0.0062500000931322575	3.7266855	0.057585698	0.8429335	1440000
10	0.0	4.036957	0.059249524	0.82669044	1600000
11	0.0	4.402467	0.060849883	0.8643525	1760000
12	0.0	4.6689954	0.06400532	0.90719193	1920000
13	0.0	4.9448934	0.06371734	0.9348961	2080000
14	0.0	5.2222075	0.06828134	0.946712	2240000
15	0.0	5.4794865	0.07016667	1.037847	2400000
16	0.0	5.712508	0.0772577	1.0229145	2560000
17	0.0	5.9835606	0.08238539	1.0477645	2720000
18	0.0	6.156313	0.08483917	1.0727848	2880000
19	0.0	6.4276776	0.08783506	1.0960826	3040000
20	0.0	6.575744	0.09240006	1.1206763	3200000
21	0.0	6.8033924	0.09566709	1.1024879	3360000
22	0.0	6.959799	0.099570215	1.1407902	3520000
23	0.0	7.120137	0.09873977	1.1198583	3680000
24	0.0	7.285579	0.10362257	1.1725327	3840000
25	0.0	7.4724617	0.10735365	1.1559064	4000000
26	0.0	7.6507697	0.11428637	1.2301946	4160000
27	0.0	7.7873077	0.11478961	1.1768913	4320000
28	0.0	7.946672	0.12245577	1.1824542	4480000
29	0.0	8.026154	0.12980948	1.274588	4640000
30	0.0	8.208043	0.14463206	1.2968798	4800000
31	0.0	8.315055	0.15992102	1.3208076	4960000
32	0.0062500000931322575	8.395464	0.16484609	1.2915146	5120000
33	0.0062500000931322575	8.505105	0.17619734	1.3677329	5280000
34	0.0	8.576622	0.1775454	1.363593	5440000
35	0.0	8.739947	0.1877808	1.3757881	5600000
36	0.02500000037252903	8.836826	0.1986785	1.4024255	5760000
37	0.0	8.937066	0.21914208	1.4559554	5920000
38	0.0	9.011873	0.2434508	1.4743487	6080000
39	0.0	9.157466	0.26272622	1.5162556	6240000
40	0.0062500000931322575	9.235881	0.27832538	1.5599617	6400000
41	0.0062500000931322575	9.258258	0.2889818	1.5590807	6560000
42	0.0062500000931322575	9.334254	0.3068379	1.5936916	6720000
43	0.012500000186264515	9.45398	0.32471582	1.5932341	6880000
44	0.0	9.462877	0.34605792	1.623483	7040000
45	0.0	9.541638	0.36517426	1.6329045	7200000
46	0.0	9.631445	0.38232845	1.6688403	7360000
47	0.03125	9.744134	0.39692923	1.6375393	7520000
48	0.01875000074505806	9.817084	0.43054658	1.6578662	7680000
49	0.012500000186264515	9.871697	0.46782154	1.6359522	7840000
50	0.012500000186264515	9.919327	0.47369874	1.7125136	8000000
51	0.0062500000931322575	10.003273	0.489099	1.6846739	8160000
52	0.0062500000931322575	10.069207	0.5090466	1.7543237	8320000
53	0.03125	10.134653	0.54876256	1.7811238	8480000
54	0.01875000074505806	10.182418	0.56361955	1.7564427	8640000
55	0.01875000074505806	10.268189	0.59356844	1.7724855	8800000
56	0.03125	10.3696575	0.62324744	1.7219048	8960000
57	0.02500000037252903	10.376978	0.6437782	1.8032886	9120000
58	0.02500000037252903	10.4379225	0.6570137	1.8721892	9280000
59	0.01875000074505806	10.480113	0.66856647	1.8222635	9440000
60	0.03125	10.539074	0.72282726	1.8060515	9600000
61	0.05000000074505806	10.625134	0.74577427	1.8298217	9760000
62	0.02500000037252903	10.709561	0.7721823	1.8504277	9920000
63	0.0625	10.77623	0.7941261	1.8533169	10080000
64	0.03125	10.795836	0.8181234	1.829376	10240000
65	0.04374999925494194	10.868179	0.8381693	1.8475726	10400000
66	0.03125	10.924181	0.83911735	1.8538517	10560000
67	0.03125	10.966261	0.85084033	1.8427217	10720000
68	0.05000000074505806	11.010879	0.8804217	1.9405761	10880000
69	0.04374999925494194	11.096688	0.8974374	1.8714694	11040000
70	0.05625000223517418	11.097813	0.9160539	1.894445	11200000
71	0.08750000596046448	11.088244	0.93049693	1.9046694	11360000
72	0.06875000149011612	11.167642	0.95850706	1.9159069	11520000
73	0.06875000149011612	11.232528	0.99070054	1.9069474	11680000
74	0.05000000074505806	11.260953	0.99875015	1.9216735	11840000
75	0.08125000447034836	11.270824	1.0407969	1.9271209	12000000
76	0.09375	11.340801	1.0697262	1.8956406	12160000
77	0.10000000149011612	11.404824	1.0875164	1.9130576	12320000
78	0.125	11.428424	1.1090829	1.9238855	12480000
79	0.08749999850988388	11.422736	1.1007458	1.9639584	12640000
80	0.07500000298023224	11.417553	1.1388056	1.9865981	12800000
81	0.125	11.445594	1.1499475	1.9704103	12960000
82	0.125	11.512375	1.2002373	1.991565	13120000
83	0.15625	11.532755	1.2368826	1.9935979	13280000
84	0.13750000298023224	11.564719	1.2514944	2.0143387	13440000
85	0.18125000596046448	11.590902	1.2734591	1.9979955	13600000
86	0.18125000596046448	11.620525	1.3049126	2.0110285	13760000
87	0.16875000298023224	11.628636	1.3010659	2.063541	13920000
88	0.15000000596046448	11.658192	1.350367	2.0327458	14080000
89	0.14375001192092896	11.694217	1.310863	2.030778	14240000
90	0.20000000298023224	11.707623	1.35859	2.0446312	14400000
91	0.17500001192092896	11.729453	1.368959	2.0350018	14560000
92	0.11874999850988388	11.785807	1.3793172	2.0442724	14720000
93	0.18125000596046448	11.805665	1.4039128	2.0989504	14880000
94	0.17499999701976776	11.852029	1.4375843	2.0817683	15040000
95	0.20625001192092896	11.916287	1.4446728	2.108294	15200000
96	0.2750000059604645	11.934563	1.4803865	2.1056361	15360000
97	0.18125000596046448	11.946303	1.4873574	2.094187	15520000
98	0.18125000596046448	11.944278	1.4907397	2.0909913	15680000
99	0.16875000298023224	11.963947	1.5186052	2.1339028	15840000
100	0.1875	11.980039	1.570129	2.156407	16000000
101	0.23125000298023224	11.959439	1.5600804	2.1538107	16160000
102	0.24375000596046448	12.063164	1.56923	2.1293375	16320000
103	0.26249998807907104	12.072307	1.5880588	2.1620755	16480000
104	0.23749999701976776	12.128964	1.5988601	2.159175	16640000
105	0.23125000298023224	12.0837755	1.613353	2.1527793	16800000
106	0.2750000059604645	12.125658	1.6535486	2.1823983	16960000
107	0.26875001192092896	12.148276	1.6839961	2.1813672	17120000
108	0.23124998807907104	12.170928	1.6961824	2.1537862	17280000
109	0.28125	12.119295	1.6983962	2.1752768	17440000
110	0.23125000298023224	12.146091	1.7095112	2.2144682	17600000
111	0.25	12.190427	1.7430791	2.2529712	17760000
112	0.26249998807907104	12.228762	1.7475303	2.2362833	17920000
113	0.32500001788139343	12.191496	1.7863855	2.2336164	18080000
114	0.2874999940395355	12.23668	1.7900804	2.278194	18240000
115	0.3812500238418579	12.282159	1.820448	2.2686362	18400000
116	0.3687500059604645	12.306109	1.8453194	2.2697706	18560000
117	0.34375	12.308531	1.8345037	2.2809765	18720000
118	0.30000001192092896	12.364799	1.8773484	2.2720811	18880000
119	0.38750001788139343	12.378783	1.8958982	2.313381	19040000
120	0.3187499940395355	12.368838	1.9049	2.295042	19200000
121	0.36250001192092896	12.360128	1.90397	2.3027437	19360000
122	0.35624998807907104	12.430109	1.9516562	2.3179717	19520000
123	0.375	12.415892	1.9466897	2.3414223	19680000
124	0.39375001192092896	12.407635	1.9404438	2.3257399	19840000
125	0.39375001192092896	12.44037	2.0175085	2.3495975	20000000
126	0.36250001192092896	12.472285	1.9976255	2.3102548	20160000
127	0.4000000059604645	12.49558	2.0170457	2.3510864	20320000
128	0.4000000059604645	12.585006	2.057742	2.369232	20480000
129	0.3375000059604645	12.579832	2.0402446	2.3903687	20640000
130	0.3500000238418579	12.635014	2.067797	2.4277055	20800000
131	0.3187499940395355	12.649246	2.0782778	2.4153926	20960000
132	0.36250001192092896	12.656523	2.1042778	2.4093456	21120000
133	0.42500001192092896	12.704344	2.140905	2.431952	21280000
134	0.32499998807907104	12.71299	2.1213853	2.4514222	21440000
135	0.3812500238418579	12.701891	2.1516397	2.4462302	21600000
136	0.41874998807907104	12.719071	2.152475	2.437832	21760000
137	0.40625	12.706421	2.1678467	2.4605727	21920000
138	0.375	12.732775	2.1807976	2.4736025	22080000
139	0.4375	12.72577	2.1957452	2.4593432	22240000
140	0.41875001788139343	12.74183	2.2236788	2.4919274	22400000
141	0.44999998807907104	12.717517	2.2750967	2.5373447	22560000
142	0.48750004172325134	12.739168	2.258306	2.5058718	22720000
143	0.4312499761581421	12.762605	2.2604165	2.533903	22880000
144	0.46875	12.720962	2.2940946	2.5557585	23040000
145	0.512499988079071	12.684553	2.3249097	2.5788193	23200000
146	0.40625	12.717706	2.2855914	2.5374727	23360000
147	0.3500000238418579	12.737482	2.3462832	2.541783	23520000
148	0.48124998807907104	12.703285	2.3276153	2.5533998	23680000
149	0.45625001192092896	12.740859	2.3995957	2.5768774	23840000
150	0.4375000298023224	12.749377	2.3809767	2.5963027	24000000
151	0.4312500059604645	12.728198	2.41189	2.624079	24160000
152	0.46875	12.7206335	2.42864	2.6255414	24320000
153	0.518750011920929	12.741705	2.417749	2.6263168	24480000
154	0.5125000476837158	12.70159	2.432777	2.6409104	24640000
155	0.4937499761581421	12.652463	2.4253373	2.6389062	24800000
156	0.4937500059604645	12.630382	2.4880087	2.673292	24960000
157	0.4437500238418579	12.630336	2.4899688	2.6558475	25120000
158	0.4312500059604645	12.656772	2.47228	2.643851	25280000
159	0.5062500238418579	12.624523	2.497539	2.692441	25440000
160	0.512499988079071	12.611144	2.516214	2.7165215	25600000
161	0.543749988079071	12.627366	2.5215878	2.6988716	25760000
162	0.45625001192092896	12.617655	2.5309541	2.687896	25920000
163	0.5125000476837158	12.647501	2.5356266	2.6933556	26080000
164	0.5062500238418579	12.6829815	2.548105	2.7080448	26240000
165	0.41874998807907104	12.639694	2.5760317	2.7194586	26400000
166	0.518750011920929	12.629063	2.5558696	2.709789	26560000
167	0.5125000476837158	12.650523	2.5977306	2.7378125	26720000
168	0.4437500238418579	12.711361	2.5775254	2.7502377	26880000
169	0.4937500059604645	12.653885	2.6194844	2.750493	27040000
170	0.5249999761581421	12.671884	2.600212	2.7354996	27200000
171	0.53125	12.617375	2.6267881	2.7464209	27360000
172	0.5375000238418579	12.671058	2.5932503	2.7410371	27520000
173	0.4625000059604645	12.662162	2.6357453	2.7564912	27680000
174	0.4750000238418579	12.656975	2.6572814	2.7673633	27840000
175	0.4625000059604645	12.644902	2.6543238	2.793059	28000000
176	0.518750011920929	12.597703	2.6520615	2.798335	28160000
177	0.5375000238418579	12.588923	2.690292	2.7938316	28320000
178	0.48124998807907104	12.563687	2.7018223	2.8358536	28480000
179	0.48750001192092896	12.596369	2.708255	2.8198788	28640000
180	0.6187499761581421	12.601976	2.6965702	2.8287213	28800000
181	0.5562499761581421	12.585674	2.692926	2.8151047	28960000
182	0.5687500238418579	12.551258	2.7012837	2.8170276	29120000
183	0.5687500238418579	12.590991	2.751429	2.8532546	29280000
184	0.606249988079071	12.588882	2.7370315	2.8343692	29440000
185	0.5812499523162842	12.6010685	2.7404933	2.8546734	29600000
186	0.606249988079071	12.591821	2.7302036	2.8710918	29760000
187	0.6437499523162842	12.566859	2.7610283	2.8569062	29920000
188	0.543749988079071	12.518043	2.826886	2.8685443	30080000
189	0.48749998211860657	12.493789	2.8216891	2.8782744	30240000
190	0.5750000476837158	12.475732	2.7961032	2.8732116	30400000
191	0.606249988079071	12.443334	2.8147733	2.901521	30560000
192	0.5562500357627869	12.405526	2.8122146	2.8806627	30720000
193	0.574999988079071	12.452702	2.8327715	2.8931859	30880000
194	0.5437500476837158	12.422943	2.8390768	2.9268017	31040000
195	0.5750000476837158	12.402068	2.7872598	2.9449146	31200000
196	0.543749988079071	12.432047	2.8078096	2.9126759	31360000
197	0.675000011920929	12.411098	2.802663	2.9193022	31520000
198	0.5750000476837158	12.397605	2.8155453	2.9240956	31680000
199	0.6187499761581421	12.390814	2.806055	2.9285488	31840000
200	0.612500011920929	12.3429165	2.796156	2.9224813	32000000
201	0.5812500715255737	12.319943	2.8219135	2.9137862	32160000
202	0.5499999523162842	12.411882	2.8390925	2.930692	32320000
203	0.6499999761581421	12.401922	2.8487837	2.949435	32480000
204	0.625	12.326809	2.8225741	2.964749	32640000
205	0.5874999761581421	12.398521	2.8088632	2.940373	32800000
206	0.612500011920929	12.35917	2.7943106	2.9585357	32960000
207	0.5625	12.359389	2.8189642	2.9709036	33120000
208	0.612500011920929	12.363769	2.8277755	2.9575727	33280000
209	0.5375000238418579	12.356022	2.8570175	2.972408	33440000
210	0.6124999523162842	12.345633	2.9073248	2.9621642	33600000
211	0.550000011920929	12.284936	2.848076	2.9621155	33760000
212	0.6187499761581421	12.325057	2.857257	2.9667857	33920000
213	0.65625	12.341034	2.8998199	2.9860072	34080000
214	0.59375	12.311035	2.9065316	3.0055625	34240000
215	0.606249988079071	12.299527	2.9015415	3.0028155	34400000
216	0.65625	12.317062	2.8812578	2.9856017	34560000
217	0.625	12.299082	2.8934972	2.9993515	34720000
218	0.6437499523162842	12.283983	2.9331434	3.004789	34880000
219	0.668749988079071	12.28909	2.9397788	3.0031285	35040000
220	0.59375	12.28506	2.9228911	3.0270033	35200000
221	0.6187499761581421	12.25646	2.9096098	3.0209322	35360000
222	0.6749999523162842	12.2663355	2.9470742	3.0395312	35520000
223	0.6187499761581421	12.181512	2.9618227	3.0621705	35680000
224	0.5625	12.182801	2.9610991	3.024596	35840000
225	0.574999988079071	12.185348	2.9524355	3.0732725	36000000
226	0.6375000476837158	12.192564	2.970143	3.0275753	36160000
227	0.6812499761581421	12.19258	2.9469268	3.0421016	36320000
228	0.6437499523162842	12.178987	2.9594395	3.0669222	36480000
229	0.6937499642372131	12.218872	2.9666376	3.0478969	36640000
230	0.612500011920929	12.155564	2.9413106	3.0605178	36800000
231	0.6812499761581421	12.17419	2.913221	3.0402563	36960000
232	0.6687500476837158	12.139819	2.9307806	3.0339103	37120000
233	0.637499988079071	12.17237	2.9260128	3.0244405	37280000
234	0.637499988079071	12.164884	2.9470234	3.0463815	37440000
235	0.637499988079071	12.113911	2.953061	3.0661519	37600000
236	0.6437499523162842	12.0796795	2.9398267	3.072173	37760000
237	0.7124999761581421	12.073715	2.955088	3.0833926	37920000
238	0.5625	11.955879	2.9115624	3.0707169	38080000
239	0.625	12.040982	2.952976	3.0709486	38240000
240	0.668749988079071	11.99711	2.9295685	3.060118	38400000
241	0.6624999642372131	11.943371	2.9653895	3.066327	38560000
242	0.6875	11.99662	2.9520178	3.0689735	38720000
243	0.668749988079071	11.95304	2.9546266	3.102981	38880000
244	0.6937500238418579	11.98031	2.9253712	3.0833592	39040000
245	0.6000000238418579	11.99314	2.962038	3.0911124	39200000
246	0.6187499761581421	11.936676	2.937602	3.076388	39360000
247	0.606249988079071	11.913957	2.9756384	3.0965092	39520000
248	0.6937500238418579	11.890691	2.9803448	3.0885863	39680000
249	0.59375	11.892998	2.992981	3.0948913	39840000
250	0.5750000476837158	11.882247	3.0034907	3.0872662	40000000
251	0.643750011920929	11.854784	2.9190524	3.1021886	40160000
252	0.668749988079071	11.851432	2.9852104	3.1053312	40320000
253	0.6812499761581421	11.829532	2.9726167	3.0810277	40480000
254	0.606249988079071	11.812421	2.9669657	3.1035128	40640000
255	0.574999988079071	11.801291	2.9427276	3.0902824	40800000
256	0.637499988079071	11.844937	2.9302173	3.0737329	40960000
257	0.625	11.864981	2.9507506	3.0857885	41120000
258	0.668749988079071	11.900965	2.9239032	3.083731	41280000
259	0.737500011920929	11.871556	2.9735005	3.10377	41440000
260	0.5437500476837158	11.910322	2.970869	3.100259	41600000
261	0.6812499761581421	11.8784	2.9865599	3.0958183	41760000
262	0.6812500357627869	11.9129505	2.9469066	3.099275	41920000
263	0.65625	11.887489	2.9718583	3.1167035	42080000
264	0.6937500238418579	11.849497	2.922018	3.1241162	42240000
265	0.59375	11.827597	2.980188	3.1167603	42400000
266	0.7125000357627869	11.8008	2.9756334	3.1014488	42560000
267	0.6375000476837158	11.8155155	2.9735951	3.0964942	42720000
268	0.65625	11.790825	3.0019999	3.1162703	42880000
269	0.6875	11.783937	2.9647193	3.104331	43040000
270	0.6000000238418579	11.773543	2.9511025	3.1038148	43200000
271	0.7312500476837158	11.764154	2.9651299	3.1147752	43360000
272	0.6937500238418579	11.737234	2.9750507	3.0930097	43520000
273	0.706250011920929	11.742972	2.9244177	3.1058247	43680000
274	0.6624999642372131	11.725193	2.9721518	3.132164	43840000
275	0.612500011920929	11.705679	2.946933	3.0980792	44000000
276	0.6624999642372131	11.683717	2.9397857	3.111946	44160000
277	0.643750011920929	11.643601	2.9177327	3.1067574	44320000
278	0.7062499523162842	11.7038965	2.9530604	3.1152647	44480000
279	0.625	11.706564	2.9553847	3.108664	44640000
280	0.625	11.690464	2.9148974	3.1022353	44800000
281	0.6187499761581421	11.629103	2.9784298	3.1289015	44960000
282	0.668749988079071	11.617385	2.9759285	3.1370885	45120000
283	0.65625	11.603145	2.9585748	3.1237488	45280000
284	0.6625000238418579	11.643605	2.9320073	3.1064692	45440000
285	0.7749999761581421	11.66433	2.9585555	3.121438	45600000
286	0.6624999642372131	11.667121	2.9399555	3.1334984	45760000
287	0.6812499761581421	11.66776	2.9156985	3.1356559	45920000
288	0.6812500357627869	11.620012	2.9215753	3.1223233	46080000
289	0.7250000238418579	11.673917	2.949454	3.1493995	46240000
290	0.699999988079071	11.657116	2.9084823	3.151597	46400000
291	0.6937500238418579	11.651584	2.929933	3.1486557	46560000
292	0.6749999523162842	11.646734	2.9581919	3.1337247	46720000
293	0.7437500357627869	11.615756	2.9559586	3.1252472	46880000
294	0.7875000238418579	11.579527	2.9310336	3.1260722	47040000
295	0.706250011920929	11.596195	2.9286861	3.1205165	47200000
296	0.6375000476837158	11.543813	2.9553616	3.1569052	47360000
297	0.706250011920929	11.5203705	2.924328	3.1583533	47520000
298	0.65625	11.476021	2.9337268	3.1584632	47680000
299	0.7562500238418579	11.433376	2.956202	3.1532168	47840000
300	0.7250000238418579	11.440545	2.920468	3.1383407	48000000
