Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageEntropy	Averagealpha	TotalEnvInteracts
1	0.0	1.3843787	0.13962178	2.6388183	0.00482149	160000
2	0.0	2.260988	0.14172024	-8.741697	0.0019299331	320000
3	0.0	3.036936	0.22089176	-10.411217	0.002129915	480000
4	0.0062500000931322575	3.705504	0.30825496	-10.140609	0.0027208296	640000
5	0.0062500000931322575	4.2967954	0.37245488	-10.086105	0.0031452808	800000
6	0.0	4.8370895	0.4136257	-10.033325	0.0034682867	960000
7	0.0	5.281514	0.44969583	-10.01634	0.0037420783	1120000
8	0.0062500000931322575	5.7148595	0.48688996	-9.919952	0.0035070723	1280000
9	0.0062500000931322575	6.1007414	0.51537544	-9.898962	0.0029612088	1440000
10	0.0	6.437299	0.5518294	-9.958808	0.0025526162	1600000
11	0.0062500000931322575	6.8464756	0.5905163	-9.940393	0.0024060726	1760000
12	0.0	7.187777	0.643997	-10.021172	0.002329653	1920000
13	0.0062500000931322575	7.4947476	0.6673949	-9.92814	0.002173077	2080000
14	0.0062500000931322575	7.8042655	0.7053443	-9.972439	0.0019094018	2240000
15	0.0062500000931322575	8.122757	0.73356557	-9.994851	0.00187025	2400000
16	0.0	8.3706875	0.76741886	-10.010623	0.0018904922	2560000
17	0.0062500000931322575	8.649018	0.8013504	-9.95998	0.0018692171	2720000
18	0.0062500000931322575	8.884457	0.83563906	-10.104757	0.0019528843	2880000
19	0.012500000186264515	9.205784	0.85764873	-10.074531	0.0023549225	3040000
20	0.012500000186264515	9.426099	0.8988523	-10.1065235	0.0028594465	3200000
21	0.02500000037252903	9.690396	0.93008566	-10.043376	0.0033667325	3360000
22	0.01875000074505806	9.917839	0.9668513	-10.053404	0.0036987567	3520000
23	0.012500000186264515	10.10152	0.9970428	-10.092205	0.0041493285	3680000
24	0.01875000074505806	10.3261795	1.0457888	-10.090818	0.004980174	3840000
25	0.012500000186264515	10.526454	1.0802989	-10.062064	0.006095577	4000000
26	0.04374999925494194	10.751564	1.096935	-10.067312	0.006755679	4160000
27	0.03125	10.961456	1.1646775	-10.099573	0.007919963	4320000
28	0.05625000223517418	11.188963	1.1947043	-10.036961	0.00906892	4480000
29	0.02500000037252903	11.373716	1.2150699	-10.066741	0.010413976	4640000
30	0.05000000074505806	11.618799	1.2683581	-10.028711	0.011462233	4800000
31	0.05000000074505806	11.786396	1.3076985	-10.025182	0.012054598	4960000
32	0.05000000074505806	11.884006	1.3302594	-9.988339	0.0121118175	5120000
33	0.05625000223517418	12.043049	1.3298037	-9.94707	0.011172821	5280000
34	0.07500000298023224	12.191131	1.3505484	-9.985075	0.0105911065	5440000
35	0.03125	12.331769	1.3883189	-9.993315	0.010380704	5600000
36	0.05000000074505806	12.452395	1.3979843	-9.962627	0.009875749	5760000
37	0.05000000074505806	12.586204	1.4170024	-9.981195	0.008986156	5920000
38	0.08124999701976776	12.647166	1.4407572	-9.965042	0.008638893	6080000
39	0.06875000149011612	12.782816	1.4632695	-10.0218935	0.008590409	6240000
40	0.11875000596046448	12.914603	1.5078776	-10.007229	0.008603438	6400000
41	0.10625000298023224	12.980824	1.5174177	-10.012766	0.0088870665	6560000
42	0.07500000298023224	13.118227	1.5532742	-10.02907	0.009178402	6720000
43	0.08750000596046448	13.2828455	1.5976279	-10.016309	0.009531786	6880000
44	0.13750000298023224	13.3446665	1.5887141	-10.038427	0.010431788	7040000
45	0.10000000149011612	13.462931	1.6397352	-9.970719	0.010644279	7200000
46	0.10625000298023224	13.586889	1.6660155	-10.046372	0.010846848	7360000
47	0.11874999850988388	13.68649	1.6838062	-10.041369	0.011793905	7520000
48	0.06875000149011612	13.763678	1.7284731	-10.048027	0.013556657	7680000
49	0.10625000298023224	13.861781	1.7290903	-10.000584	0.014395649	7840000
50	0.13124999403953552	13.927053	1.741009	-10.02952	0.01464333	8000000
51	0.15000000596046448	14.002441	1.7885233	-10.001646	0.015346383	8160000
52	0.07500000298023224	14.06625	1.8131562	-10.023314	0.015841775	8320000
53	0.06875000149011612	14.153722	1.8333493	-10.014125	0.016080352	8480000
54	0.10625000298023224	14.185431	1.7960752	-10.006562	0.01667374	8640000
55	0.09375	14.2703495	1.8150629	-9.985078	0.016233906	8800000
56	0.09375	14.333047	1.8169011	-9.991711	0.015897395	8960000
57	0.13125000894069672	14.323842	1.8602514	-9.996494	0.015569997	9120000
58	0.11250000447034836	14.388657	1.8554949	-10.009128	0.015999725	9280000
59	0.16875000298023224	14.445514	1.8488396	-10.00869	0.016472504	9440000
60	0.15000000596046448	14.481067	1.8496343	-9.984773	0.015963132	9600000
61	0.10625000298023224	14.534631	1.8464621	-9.963017	0.015192478	9760000
