Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.0	1.08321	0.116288714	3.3031716	160000
2	0.0	1.8617837	0.07177287	3.4086485	320000
3	0.0	2.4486187	0.07582608	3.6519132	480000
4	0.0	3.000142	0.08287634	3.7920108	640000
5	0.0	3.550903	0.0939645	3.9156504	800000
6	0.0	4.0550413	0.11680121	4.0557756	960000
7	0.0	4.5658965	0.13780108	4.157296	1120000
8	0.0	5.05641	0.15707742	4.2156544	1280000
9	0.0	5.5139647	0.18416888	4.2618957	1440000
10	0.0	5.912876	0.21681537	4.293045	1600000
11	0.0	6.3563085	0.2530552	4.359164	1760000
12	0.0	6.7383304	0.27704713	4.3779683	1920000
13	0.0	7.10072	0.3053533	4.420877	2080000
14	0.0	7.447952	0.33998573	4.4443736	2240000
15	0.0	7.813636	0.37560564	4.473545	2400000
16	0.0	8.152765	0.4048156	4.5087285	2560000
17	0.0	8.451871	0.44152838	4.556168	2720000
18	0.0	8.745385	0.47141898	4.5754843	2880000
19	0.0	9.027126	0.506391	4.6076894	3040000
20	0.0	9.32955	0.54717666	4.6219707	3200000
21	0.0	9.526766	0.5716866	4.657795	3360000
22	0.0062500000931322575	9.733311	0.60794485	4.6778865	3520000
23	0.0062500000931322575	9.970934	0.64804566	4.6826835	3680000
24	0.0062500000931322575	10.236564	0.6876554	4.7050114	3840000
25	0.012500000186264515	10.413997	0.7299291	4.748047	4000000
26	0.0	10.597529	0.7490943	4.7803807	4160000
27	0.01875000074505806	10.79655	0.78712606	4.804012	4320000
28	0.0	11.042647	0.82797337	4.8124804	4480000
29	0.012500000186264515	11.179044	0.8621775	4.821385	4640000
30	0.0	11.376286	0.8924125	4.830485	4800000
31	0.012500000186264515	11.546488	0.94316405	4.847021	4960000
32	0.0062500000931322575	11.703082	0.9828042	4.8914833	5120000
33	0.01875000074505806	11.826365	1.0208517	4.893576	5280000
34	0.0062500000931322575	11.970146	1.0379194	4.8994904	5440000
35	0.0062500000931322575	12.042356	1.0655688	4.894772	5600000
36	0.03750000149011612	12.238197	1.0928576	4.8866544	5760000
37	0.02500000037252903	12.335393	1.163598	4.894993	5920000
38	0.012500000186264515	12.444181	1.193239	4.938036	6080000
39	0.05000000074505806	12.601479	1.2490935	4.9498796	6240000
40	0.0062500000931322575	12.7324915	1.2857788	4.959458	6400000
41	0.04374999925494194	12.8212385	1.30919	4.9630327	6560000
42	0.01875000074505806	12.915161	1.3692027	4.994763	6720000
43	0.04375000298023224	13.0164585	1.3783808	5.0079236	6880000
44	0.06875000149011612	13.11456	1.412645	5.011993	7040000
