Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.0062500000931322575	0.6621538	0.036994483	2.7823617	160000
2	0.0	1.144363	0.025761867	2.5681782	320000
3	0.0	1.7442815	0.035094064	2.9624426	480000
4	0.0062500000931322575	2.231645	0.03824408	2.9948442	640000
5	0.0	2.6665516	0.046994884	2.9438412	800000
6	0.01875000074505806	3.0619686	0.050934054	2.9506767	960000
7	0.02500000037252903	3.4186006	0.062003642	2.9568946	1120000
8	0.05000000074505806	3.787266	0.07866212	3.085028	1280000
9	0.03125	4.10538	0.102056526	3.2281132	1440000
10	0.03750000149011612	4.381563	0.12356234	3.366418	1600000
11	0.05000000074505806	4.6800847	0.147589	3.4548056	1760000
12	0.07500000298023224	4.9398985	0.17327972	3.4967415	1920000
13	0.06875000149011612	5.165492	0.18801306	3.5349345	2080000
14	0.11875000596046448	5.4095273	0.20949143	3.5519907	2240000
15	0.11250000447034836	5.6374016	0.23164918	3.5799034	2400000
16	0.125	5.858418	0.25327435	3.6369061	2560000
17	0.07500000298023224	6.0425467	0.27400592	3.6975029	2720000
18	0.125	6.2131824	0.29564822	3.7236795	2880000
19	0.08750000596046448	6.4151435	0.31733423	3.7382631	3040000
20	0.11249999701976776	6.6251435	0.33672825	3.7721298	3200000
21	0.11249999701976776	6.766862	0.36282855	3.821547	3360000
22	0.17500001192092896	6.919515	0.3857974	3.8359594	3520000
23	0.17500001192092896	7.0449405	0.4067364	3.8526742	3680000
24	0.21875	7.199047	0.42929032	3.858951	3840000
25	0.125	7.3176746	0.4426441	3.8703334	4000000
26	0.17500001192092896	7.4418645	0.4426691	3.8985791	4160000
27	0.15000000596046448	7.558198	0.47704223	3.920147	4320000
28	0.18125000596046448	7.6661506	0.4945956	3.9333286	4480000
29	0.2187500149011612	7.7912674	0.50881326	3.9456294	4640000
30	0.19375000894069672	7.9301534	0.52750087	3.9640048	4800000
31	0.1875	8.013776	0.53718126	3.9927044	4960000
32	0.17500001192092896	8.070148	0.5516919	4.0079594	5120000
33	0.1875	8.178982	0.5463688	4.014122	5280000
34	0.23124998807907104	8.262737	0.59883064	4.0366073	5440000
35	0.16875000298023224	8.316409	0.5955008	4.045784	5600000
36	0.20000000298023224	8.414982	0.5918662	4.037262	5760000
37	0.20624999701976776	8.471885	0.61776274	4.047714	5920000
38	0.20000000298023224	8.550692	0.6214034	4.0418506	6080000
39	0.23124998807907104	8.648874	0.6245757	4.060894	6240000
40	0.21249999105930328	8.723919	0.6547527	4.065362	6400000
41	0.26875001192092896	8.762456	0.6631261	4.079868	6560000
42	0.2562499940395355	8.806029	0.65585095	4.0715938	6720000
43	0.22499999403953552	8.846426	0.67553514	4.0859365	6880000
44	0.21875	8.949308	0.6878498	4.0767365	7040000
45	0.26250001788139343	9.002334	0.68963265	4.102004	7200000
46	0.25	8.994558	0.6930338	4.094977	7360000
47	0.25	9.0703335	0.69279754	4.1290197	7520000
48	0.30000001192092896	9.097721	0.70229495	4.126261	7680000
49	0.29375001788139343	9.111092	0.69987524	4.1143184	7840000
50	0.3187500238418579	9.131004	0.68835133	4.1419287	8000000
51	0.21875	9.156336	0.71174294	4.1591744	8160000
52	0.26250001788139343	9.164406	0.69872797	4.157619	8320000
53	0.26875001192092896	9.183459	0.70544875	4.1566925	8480000
54	0.26250001788139343	9.21435	0.7106613	4.197477	8640000
55	0.23750001192092896	9.189924	0.7105044	4.1910048	8800000
56	0.2875000238418579	9.188748	0.71287006	4.176023	8960000
57	0.23750001192092896	9.222014	0.7284463	4.169778	9120000
58	0.23749999701976776	9.242616	0.7235615	4.185576	9280000
59	0.23125001788139343	9.2055855	0.72808313	4.2089443	9440000
60	0.2750000059604645	9.235678	0.73852354	4.2008853	9600000
61	0.3062500059604645	9.273844	0.74696034	4.2172723	9760000
62	0.25	9.293951	0.7374503	4.2386174	9920000
63	0.29374998807907104	9.288615	0.75210744	4.2188067	10080000
64	0.30000001192092896	9.320104	0.75269556	4.202842	10240000
65	0.21875	9.346745	0.75302315	4.2090807	10400000
66	0.30000001192092896	9.346704	0.75240695	4.220122	10560000
67	0.26249998807907104	9.3431425	0.73142654	4.213635	10720000
68	0.2875000238418579	9.354341	0.7338868	4.218711	10880000
69	0.28125	9.396275	0.75197196	4.2255406	11040000
70	0.29375001788139343	9.374506	0.7584183	4.233471	11200000
71	0.3062500059604645	9.416877	0.7572076	4.2345977	11360000
72	0.3187500238418579	9.407672	0.7581125	4.2541423	11520000
73	0.2749999761581421	9.42743	0.75975746	4.2474866	11680000
74	0.30000001192092896	9.426846	0.73733544	4.269629	11840000
75	0.2749999761581421	9.449863	0.7531852	4.2777324	12000000
76	0.25	9.476059	0.76177406	4.26187	12160000
77	0.36250001192092896	9.473732	0.76110613	4.281662	12320000
78	0.32499998807907104	9.504375	0.7835357	4.298261	12480000
79	0.3125	9.499797	0.7726235	4.30016	12640000
80	0.3375000059604645	9.488928	0.7744358	4.285693	12800000
81	0.33125001192092896	9.519092	0.76816297	4.2999616	12960000
82	0.32500001788139343	9.433842	0.7738856	4.327581	13120000
83	0.375	9.438447	0.7733484	4.351653	13280000
84	0.28125	9.428002	0.7822889	4.3277197	13440000
85	0.33125001192092896	9.427154	0.7626117	4.345097	13600000
86	0.33125001192092896	9.409301	0.78671885	4.3298554	13760000
87	0.3187500238418579	9.4165535	0.76313037	4.332407	13920000
88	0.33125001192092896	9.374273	0.76321954	4.320115	14080000
89	0.375	9.414412	0.77163684	4.31888	14240000
90	0.29374998807907104	9.372626	0.7702877	4.346082	14400000
91	0.28125	9.387236	0.77380174	4.355707	14560000
92	0.22499999403953552	9.388112	0.75645584	4.3480077	14720000
93	0.33125001192092896	9.388523	0.77755547	4.3397255	14880000
94	0.26875001192092896	9.400178	0.7531267	4.312298	15040000
95	0.3187500238418579	9.388637	0.7671469	4.3397684	15200000
96	0.3125	9.372777	0.7737951	4.353078	15360000
97	0.26875001192092896	9.364661	0.75896305	4.368539	15520000
98	0.3187500238418579	9.329722	0.75183934	4.320978	15680000
99	0.3125	9.361398	0.7607615	4.3303595	15840000
100	0.29374998807907104	9.350286	0.7600638	4.3215156	16000000
101	0.33125001192092896	9.375252	0.7744031	4.3406754	16160000
102	0.3375000059604645	9.376711	0.7654569	4.350843	16320000
103	0.28125	9.392694	0.77438474	4.360868	16480000
104	0.3812500238418579	9.3757105	0.76456064	4.346258	16640000
105	0.34375	9.431215	0.7647061	4.3440356	16800000
106	0.3500000238418579	9.376508	0.76584095	4.3376694	16960000
107	0.4125000238418579	9.404214	0.7703571	4.3101134	17120000
108	0.3375000059604645	9.410374	0.766834	4.327913	17280000
109	0.3999999761581421	9.398993	0.76009625	4.324546	17440000
110	0.30000001192092896	9.381356	0.7596854	4.367331	17600000
111	0.3375000059604645	9.399132	0.77714366	4.323174	17760000
112	0.33124998211860657	9.399908	0.74491954	4.369406	17920000
113	0.375	9.370395	0.7410975	4.357915	18080000
114	0.3375000059604645	9.4313965	0.75150305	4.342039	18240000
115	0.40625	9.390005	0.7500563	4.327022	18400000
116	0.33125001192092896	9.397554	0.7545584	4.3233943	18560000
117	0.3375000059604645	9.316745	0.75676256	4.3387823	18720000
118	0.3499999940395355	9.332781	0.73860484	4.337835	18880000
119	0.33125001192092896	9.385481	0.74672157	4.3327503	19040000
120	0.3812499940395355	9.395673	0.75244975	4.3415756	19200000
121	0.34375	9.379405	0.74852127	4.346606	19360000
122	0.32499998807907104	9.372504	0.7415002	4.3517694	19520000
123	0.3500000238418579	9.286336	0.7424575	4.3563757	19680000
124	0.3500000238418579	9.348045	0.74141675	4.3266206	19840000
125	0.4000000059604645	9.333198	0.7446446	4.3006964	20000000
126	0.34375	9.311115	0.746082	4.328991	20160000
127	0.375	9.31569	0.7389794	4.3160887	20320000
128	0.3062500059604645	9.307203	0.73975646	4.2847834	20480000
129	0.3499999940395355	9.333669	0.7329846	4.3168564	20640000
130	0.3062500059604645	9.327537	0.7504487	4.3259444	20800000
131	0.3062500059604645	9.330988	0.72852457	4.3141737	20960000
132	0.33125001192092896	9.291504	0.7307094	4.3163323	21120000
133	0.38749998807907104	9.339242	0.7400043	4.3332777	21280000
134	0.29374998807907104	9.325031	0.72219604	4.329955	21440000
135	0.30000001192092896	9.266822	0.7012588	4.3278103	21600000
136	0.3812499940395355	9.34877	0.7306371	4.3433223	21760000
137	0.36875003576278687	9.317589	0.7257548	4.3128805	21920000
138	0.36250001192092896	9.269684	0.7254466	4.316188	22080000
139	0.36250001192092896	9.322029	0.7267252	4.3035226	22240000
140	0.3812500238418579	9.32306	0.74296254	4.2776	22400000
141	0.2749999761581421	9.325706	0.7251437	4.300273	22560000
142	0.3812500238418579	9.268803	0.7307031	4.324303	22720000
143	0.34375	9.27487	0.719432	4.326715	22880000
144	0.3187500238418579	9.295578	0.7276839	4.3254066	23040000
145	0.3812500238418579	9.274839	0.74474764	4.3216534	23200000
146	0.4000000059604645	9.245504	0.7292421	4.315431	23360000
147	0.30625003576278687	9.212466	0.74026954	4.309138	23520000
148	0.29374998807907104	9.208972	0.73644155	4.297996	23680000
149	0.35624998807907104	9.210535	0.7498449	4.3150167	23840000
150	0.2875000238418579	9.187699	0.7564921	4.321905	24000000
151	0.4000000059604645	9.191877	0.739462	4.332309	24160000
152	0.3187500238418579	9.235063	0.7322114	4.318851	24320000
153	0.4437499940395355	9.22715	0.7378022	4.3559904	24480000
154	0.32500001788139343	9.194895	0.755698	4.3215427	24640000
155	0.36250001192092896	9.204249	0.7420584	4.332455	24800000
156	0.375	9.196966	0.748627	4.329636	24960000
157	0.3187499940395355	9.19924	0.74334186	4.329412	25120000
158	0.39375001192092896	9.153723	0.71557945	4.3163	25280000
159	0.34375	9.107339	0.7293888	4.3172216	25440000
160	0.42500001192092896	9.137055	0.73471844	4.3248515	25600000
161	0.3375000059604645	9.146184	0.7392043	4.329799	25760000
162	0.32499998807907104	9.172078	0.73995507	4.3270035	25920000
163	0.3500000238418579	9.190525	0.727118	4.334121	26080000
164	0.3125	9.17244	0.7480215	4.3530626	26240000
165	0.375	9.216004	0.74817014	4.355178	26400000
166	0.3500000238418579	9.118683	0.7390135	4.3366466	26560000
167	0.3500000238418579	9.194019	0.739354	4.3435655	26720000
168	0.38749998807907104	9.151576	0.73120177	4.346919	26880000
169	0.32499998807907104	9.131432	0.7306233	4.32184	27040000
170	0.3374999761581421	9.142016	0.7383883	4.32586	27200000
171	0.3062500059604645	9.179194	0.73971385	4.345963	27360000
172	0.41875001788139343	9.190741	0.7389701	4.345133	27520000
173	0.34375	9.182871	0.74386626	4.346487	27680000
174	0.3687500059604645	9.152145	0.7476484	4.3732343	27840000
175	0.375	9.15375	0.7430988	4.355806	28000000
176	0.3812500238418579	9.191779	0.74402833	4.3583236	28160000
177	0.3687500059604645	9.164728	0.7345907	4.3609357	28320000
178	0.375	9.19526	0.72973156	4.373991	28480000
179	0.36250001192092896	9.162885	0.7263054	4.348755	28640000
180	0.3500000238418579	9.117304	0.72511107	4.3692665	28800000
181	0.3812499940395355	9.129953	0.73187923	4.3431416	28960000
182	0.39375001192092896	9.132396	0.72823197	4.344584	29120000
183	0.375	9.122279	0.7483043	4.3566446	29280000
184	0.42500001192092896	9.092429	0.7462694	4.3704724	29440000
185	0.30625003576278687	9.083424	0.74425215	4.377334	29600000
186	0.38750001788139343	9.077618	0.7440264	4.392004	29760000
187	0.40625	9.103179	0.73862255	4.39529	29920000
188	0.3500000238418579	9.121801	0.7430464	4.359303	30080000
189	0.36875003576278687	9.131228	0.75273436	4.352394	30240000
190	0.3187499940395355	9.072529	0.7589303	4.356576	30400000
191	0.38749998807907104	9.068169	0.7669184	4.3520546	30560000
192	0.4312499761581421	9.043319	0.740904	4.358357	30720000
193	0.4375	8.996737	0.734206	4.349284	30880000
194	0.35624998807907104	9.027533	0.73752207	4.376388	31040000
195	0.38750001788139343	9.034019	0.73534685	4.3838453	31200000
196	0.4749999940395355	8.99423	0.7405117	4.366332	31360000
197	0.3687500059604645	9.035695	0.7450825	4.371924	31520000
198	0.3125	9.034245	0.7371332	4.3829813	31680000
199	0.3125	9.063859	0.7535933	4.374628	31840000
200	0.29374998807907104	8.961309	0.7277183	4.3605285	32000000
201	0.41874998807907104	8.99251	0.73469746	4.355121	32160000
202	0.41875001788139343	9.003824	0.7312694	4.3564377	32320000
203	0.4312500059604645	8.9346895	0.729437	4.3470516	32480000
204	0.39375001192092896	8.976945	0.7266178	4.3504386	32640000
205	0.4437500238418579	8.944608	0.73697436	4.3433	32800000
206	0.42500001192092896	8.912283	0.73677737	4.3454757	32960000
207	0.3499999940395355	8.926742	0.73300594	4.3639197	33120000
208	0.3499999940395355	8.956373	0.737171	4.356448	33280000
209	0.38750001788139343	8.931217	0.73443264	4.377286	33440000
210	0.38749998807907104	8.879344	0.7379982	4.359419	33600000
211	0.3999999761581421	8.92744	0.7431478	4.357106	33760000
212	0.36250001192092896	8.926166	0.72967637	4.344431	33920000
213	0.36250001192092896	8.96768	0.7253686	4.3358593	34080000
214	0.4312500059604645	8.930244	0.7303438	4.353312	34240000
215	0.42500001192092896	8.928514	0.7393582	4.349585	34400000
216	0.375	8.983205	0.73474705	4.3642836	34560000
217	0.42500001192092896	8.94881	0.7337868	4.3760233	34720000
218	0.40625	8.943777	0.72391397	4.3613524	34880000
219	0.3374999761581421	9.017849	0.7349887	4.3474483	35040000
220	0.40625	8.988292	0.72759265	4.315205	35200000
221	0.40625	8.950065	0.71637905	4.3242345	35360000
222	0.36250001192092896	8.994859	0.7267148	4.3391514	35520000
223	0.3687500059604645	8.992225	0.71292406	4.3118877	35680000
224	0.375	8.959832	0.7114493	4.3125763	35840000
225	0.36250001192092896	8.956407	0.7216725	4.3420596	36000000
226	0.38750001788139343	8.974193	0.73920774	4.34891	36160000
227	0.3812500238418579	8.927276	0.7292312	4.3468776	36320000
228	0.46875	8.934458	0.72391224	4.3229976	36480000
229	0.3500000238418579	8.9359665	0.7358776	4.3367596	36640000
230	0.375	8.909667	0.7179749	4.325943	36800000
231	0.44999998807907104	8.833089	0.7183826	4.307318	36960000
232	0.3812500238418579	8.897553	0.730977	4.3333488	37120000
233	0.49375003576278687	8.893457	0.71352285	4.329705	37280000
234	0.44999998807907104	8.889967	0.70903844	4.3053393	37440000
