Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageEntropy	Averagealpha	TotalEnvInteracts
1	0.0	1.0055346	0.05773467	7.6694403	0.0045191566	160000
2	0.0062500000931322575	1.8572295	0.04616077	-3.9210372	0.0009784328	320000
3	0.0062500000931322575	2.4292831	0.053656228	-9.687211	0.0006360753	480000
4	0.0062500000931322575	2.9459975	0.06850746	-9.608939	0.0005046176	640000
5	0.0062500000931322575	3.4342642	0.08786423	-9.71803	0.00034062882	800000
6	0.0062500000931322575	3.9036887	0.10248985	-9.605027	0.00021007675	960000
7	0.10625000298023224	4.2717524	0.12596802	-9.523356	0.0001207662	1120000
8	0.10625000298023224	4.554817	0.15570034	-9.669875	6.7640925e-05	1280000
9	0.13124999403953552	4.8203096	0.18447179	-9.797112	4.3433694e-05	1440000
10	0.125	5.0850296	0.20621723	-9.845738	3.5382203e-05	1600000
11	0.10000000894069672	5.402894	0.22831678	-10.001945	3.1376578e-05	1760000
12	0.18125000596046448	5.59409	0.24784546	-9.963596	3.1680705e-05	1920000
13	0.11874999850988388	5.8354816	0.26719695	-9.860031	2.7573373e-05	2080000
14	0.1875	6.067378	0.28191563	-9.843349	2.1720398e-05	2240000
15	0.15625	6.2889147	0.30577952	-9.812509	1.6954024e-05	2400000
16	0.15625	6.5043917	0.32901797	-9.872907	1.2663737e-05	2560000
17	0.16249999403953552	6.7135096	0.35141382	-9.911938	1.1025004e-05	2720000
18	0.19375000894069672	6.847043	0.37154052	-9.941367	9.839108e-06	2880000
19	0.13124999403953552	7.0566664	0.38036853	-9.82891	8.197189e-06	3040000
20	0.16249999403953552	7.185173	0.4067946	-9.869407	6.568301e-06	3200000
21	0.13750000298023224	7.382612	0.416876	-9.9095745	5.667597e-06	3360000
22	0.24375000596046448	7.5188675	0.42653987	-9.867039	4.6020523e-06	3520000
23	0.21875	7.6594834	0.46908572	-9.933894	3.987198e-06	3680000
24	0.21249999105930328	7.8248115	0.47780794	-9.868645	3.3882413e-06	3840000
25	0.15625	7.955372	0.50480646	-9.912705	2.8904992e-06	4000000
26	0.1875	8.122569	0.52076745	-10.001672	2.7050248e-06	4160000
27	0.19375000894069672	8.210955	0.5539298	-10.063188	2.750081e-06	4320000
28	0.1875	8.302967	0.5781984	-10.067413	3.1207194e-06	4480000
29	0.25	8.379333	0.58154577	-10.043285	3.330705e-06	4640000
