Epoch	SuccessRate	AverageLossPi	AverageLossQ	TotalEnvInteracts
1	0.0	1.282501	0.020679826	80000
2	0.24375000596046448	1.4419996	0.0134398015	160000
3	0.24375000596046448	1.3629885	0.014613538	240000
4	0.45000001788139343	1.3873274	0.014640696	320000
5	0.5562499761581421	1.4660901	0.015773736	400000
6	0.6687500476837158	1.5265163	0.016673718	480000
7	0.6875	1.5970039	0.016808674	560000
8	0.706250011920929	1.6830109	0.016707538	640000
9	0.7250000238418579	1.7868574	0.016807145	720000
10	0.737500011920929	1.8601311	0.016539652	800000
11	0.7062499523162842	1.9536883	0.016513098	880000
12	0.7312500476837158	2.0256665	0.016430996	960000
13	0.6937500238418579	2.0968263	0.016593916	1040000
14	0.7562500238418579	2.180463	0.016185466	1120000
15	0.6937500238418579	2.2641566	0.015644873	1200000
16	0.7437499761581421	2.3488016	0.015544265	1280000
17	0.7312499284744263	2.4298925	0.015508033	1360000
18	0.7312500476837158	2.481003	0.015445764	1440000
19	0.7749999761581421	2.565562	0.015330839	1520000
20	0.7250000238418579	2.6271703	0.015459282	1600000
21	0.7749999761581421	2.686876	0.015122272	1680000
22	0.7062499523162842	2.7189832	0.014870441	1760000
23	0.7437499761581421	2.7880487	0.014968689	1840000
24	0.7250000238418579	2.8463213	0.014909326	1920000
25	0.7124999761581421	2.8903801	0.015651356	2000000
26	0.6625000238418579	2.9223979	0.014907576	2080000
27	0.737500011920929	2.9635332	0.015288486	2160000
28	0.737500011920929	3.0382607	0.015108904	2240000
29	0.7749999761581421	3.087546	0.014991108	2320000
30	0.6812500357627869	3.1320834	0.0154337045	2400000
31	0.75	3.1627076	0.014973607	2480000
32	0.7124999761581421	3.2045708	0.015253533	2560000
33	0.7062500715255737	3.2193017	0.01571513	2640000
34	0.7875000238418579	3.2234395	0.015134913	2720000
35	0.7250000238418579	3.2520235	0.015173677	2800000
36	0.7250000238418579	3.2565858	0.0150529565	2880000
37	0.7749999761581421	3.2350268	0.015034923	2960000
38	0.75	3.2946973	0.014640554	3040000
39	0.7625000476837158	3.3380694	0.014909197	3120000
40	0.7562500238418579	3.3797157	0.0150633715	3200000
41	0.731249988079071	3.3883643	0.014971582	3280000
42	0.731249988079071	3.410544	0.015483627	3360000
43	0.7124999761581421	3.4180427	0.015225119	3440000
44	0.6875	3.4500244	0.014713305	3520000
45	0.7875000238418579	3.4736347	0.014729856	3600000
46	0.8062500357627869	3.4609842	0.014547998	3680000
47	0.737500011920929	3.4807017	0.014436277	3760000
48	0.768750011920929	3.5224042	0.014397337	3840000
49	0.6687499284744263	3.519267	0.0145881465	3920000
50	0.768750011920929	3.534413	0.014123005	4000000
51	0.75	3.5232415	0.014712891	4080000
52	0.768750011920929	3.4912617	0.014425163	4160000
53	0.7749999761581421	3.5073264	0.014490461	4240000
54	0.731249988079071	3.5323822	0.014245442	4320000
55	0.6812499761581421	3.5298252	0.01458842	4400000
56	0.7437499761581421	3.528386	0.01414318	4480000
57	0.8374999761581421	3.5504782	0.014475345	4560000
58	0.7562500238418579	3.5644042	0.014312344	4640000
59	0.7625000476837158	3.5490243	0.0147489915	4720000
60	0.7437500357627869	3.5724285	0.013983773	4800000
61	0.7999999523162842	3.6037657	0.014330549	4880000
62	0.6937500238418579	3.6101415	0.014728485	4960000
63	0.7875000238418579	3.5902872	0.014232444	5040000
64	0.7437499761581421	3.5947871	0.014201593	5120000
65	0.7749999761581421	3.6012344	0.014439309	5200000
66	0.7687499523162842	3.615444	0.014105467	5280000
67	0.7187499403953552	3.617082	0.01433974	5360000
68	0.75	3.6157215	0.014201747	5440000
69	0.706250011920929	3.6227002	0.0143027175	5520000
70	0.75	3.5921907	0.014440771	5600000
71	0.75	3.6067832	0.014688434	5680000
72	0.7562500238418579	3.6171653	0.0144160595	5760000
73	0.71875	3.6031325	0.013921712	5840000
74	0.7437499761581421	3.5961711	0.0145143205	5920000
75	0.71875	3.6145496	0.014186355	6000000
76	0.7562500238418579	3.613187	0.0144889485	6080000
77	0.6062500476837158	3.5797076	0.014402209	6160000
78	0.7249999642372131	3.6177335	0.014193304	6240000
79	0.7625000476837158	3.5592604	0.014293346	6320000
80	0.737500011920929	3.6178086	0.014599649	6400000
81	0.5375000238418579	3.6088922	0.014025753	6480000
82	0.7375000715255737	3.627534	0.015081524	6560000
83	0.731249988079071	3.6188545	0.014373299	6640000
84	0.7749999761581421	3.6000438	0.014676297	6720000
85	0.6937499642372131	3.6183877	0.014766981	6800000
86	0.75	3.6408205	0.014266885	6880000
87	0.75	3.6174018	0.014398813	6960000
88	0.706250011920929	3.6370366	0.014597641	7040000
89	0.6812499761581421	3.6248858	0.014898686	7120000
90	0.75	3.5998526	0.014271487	7200000
91	0.78125	3.6172104	0.01457534	7280000
92	0.793749988079071	3.6314044	0.014084048	7360000
93	0.7562499642372131	3.6132178	0.014411985	7440000
94	0.768750011920929	3.648506	0.013916905	7520000
95	0.706250011920929	3.6262832	0.013836012	7600000
96	0.731249988079071	3.607651	0.013948104	7680000
97	0.6749999523162842	3.6285703	0.013785055	7760000
98	0.7749999761581421	3.6357896	0.013352779	7840000
99	0.7562500238418579	3.6587853	0.013512114	7920000
100	0.71875	3.633341	0.013865881	8000000
101	0.762499988079071	3.6561558	0.0137512805	8080000
102	0.7875000238418579	3.6351006	0.013088843	8160000
103	0.7937500476837158	3.63672	0.013667271	8240000
104	0.625	3.6293573	0.013551271	8320000
105	0.768750011920929	3.6218488	0.0135281505	8400000
106	0.71875	3.6093416	0.013084594	8480000
107	0.7250000238418579	3.67254	0.013245093	8560000
108	0.8062499761581421	3.6439292	0.013211451	8640000
109	0.768750011920929	3.6436534	0.013189549	8720000
110	0.7687499523162842	3.6655273	0.013305044	8800000
111	0.6875	3.6551368	0.013024744	8880000
112	0.7250000238418579	3.654527	0.012722836	8960000
113	0.7124999761581421	3.6389136	0.013143882	9040000
114	0.7250000238418579	3.6302016	0.013090388	9120000
115	0.768750011920929	3.66411	0.012881583	9200000
116	0.7125000357627869	3.6571763	0.013089794	9280000
117	0.7749999761581421	3.6580167	0.012851937	9360000
118	0.7312500476837158	3.6670117	0.012652226	9440000
119	0.7374999523162842	3.6853073	0.012863938	9520000
120	0.7374999523162842	3.6512911	0.013563763	9600000
121	0.7250000238418579	3.6524014	0.013002764	9680000
122	0.7437500357627869	3.6976736	0.013040575	9760000
123	0.7750000357627869	3.6636953	0.01293201	9840000
124	0.706250011920929	3.6593125	0.012779737	9920000
