Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.0	1.0730605	0.070572235	0.0	80000
2	0.0	1.6348206	0.055889696	0.0	160000
3	0.6000000238418579	1.6531057	0.057153985	0.0	240000
4	0.6875	1.5025599	0.05655474	0.0	320000
5	0.668749988079071	1.3842154	0.05557129	0.0	400000
6	0.706250011920929	1.4141634	0.0521817	0.0	480000
7	0.7250000238418579	1.4150258	0.052688323	0.0	560000
8	0.668749988079071	1.4468957	0.053290717	0.0	640000
9	0.699999988079071	1.5130838	0.053944148	0.0	720000
10	0.7124999761581421	1.4835196	0.052393053	0.0	800000
11	0.7062499523162842	1.404802	0.053005293	0.0	880000
12	0.7124999761581421	1.3603172	0.05098677	0.0	960000
13	0.7437499761581421	1.3956167	0.051239505	0.0	1040000
14	0.7937500476837158	1.4092461	0.05354747	0.0	1120000
15	0.8187500238418579	1.4238309	0.05392774	0.0	1200000
16	0.737500011920929	1.4020333	0.053939056	0.0	1280000
17	0.75	1.409238	0.05526477	0.0	1360000
18	0.831250011920929	1.4150239	0.05363966	0.0	1440000
19	0.8624999523162842	1.4289386	0.056266032	0.0	1520000
20	0.7875000238418579	1.4293418	0.058135953	0.0	1600000
21	0.8312499523162842	1.4438239	0.058703758	0.0	1680000
22	0.8125	1.4036028	0.060812306	0.0	1760000
23	0.862500011920929	1.3751116	0.059668135	0.0	1840000
24	0.8937499523162842	1.391148	0.060071953	0.0	1920000
25	0.8624999523162842	1.4023225	0.060821824	0.0	2000000
26	0.8187500238418579	1.3975704	0.06107131	0.0	2080000
27	0.90625	1.4181411	0.067111686	0.0	2160000
28	0.8562500476837158	1.4343282	0.067205064	0.0	2240000
29	0.887499988079071	1.4303315	0.07000915	0.0	2320000
30	0.8624999523162842	1.4440613	0.06956606	0.0	2400000
31	0.8500000238418579	1.4381155	0.069610864	0.0	2480000
32	0.862500011920929	1.4280798	0.070848875	0.0	2560000
33	0.8624999523162842	1.4134291	0.07171138	0.0	2640000
34	0.8999999761581421	1.3782225	0.070250526	0.0	2720000
35	0.8500000238418579	1.3798379	0.07069594	0.0	2800000
36	0.8687499761581421	1.3585496	0.07189273	0.0	2880000
37	0.8999999761581421	1.3579588	0.07126494	0.0	2960000
38	0.893750011920929	1.3746711	0.07359746	0.0	3040000
39	0.918749988079071	1.3820708	0.07270277	0.0	3120000
40	0.8687499761581421	1.4092945	0.07823945	0.0	3200000
41	0.875	1.4162838	0.07562546	0.0	3280000
42	0.8624999523162842	1.4281328	0.07921957	0.0	3360000
43	0.8624999523162842	1.4440867	0.07831342	0.0	3440000
44	0.8812499642372131	1.4775323	0.08240595	0.0	3520000
45	0.8875000476837158	1.4818213	0.07924748	0.0	3600000
46	0.90625	1.514064	0.0815639	0.0	3680000
47	0.856249988079071	1.5044228	0.08033352	0.0	3760000
48	0.875	1.5050436	0.08569968	0.0	3840000
49	0.8374999761581421	1.5256958	0.08282206	0.0	3920000
50	0.9187499284744263	1.515376	0.082691334	0.0	4000000
51	0.8999999761581421	1.5365244	0.0850213	0.0	4080000
52	0.8999999761581421	1.5525391	0.083911724	0.0	4160000
53	0.8999999761581421	1.5462871	0.08663237	0.0	4240000
54	0.887499988079071	1.5631897	0.08218245	0.0	4320000
55	0.824999988079071	1.5870483	0.08630598	0.0	4400000
56	0.8624999523162842	1.5815755	0.08714909	0.0	4480000
57	0.90625	1.5923163	0.08831938	0.0	4560000
58	0.8187499642372131	1.5948745	0.089660265	0.0	4640000
59	0.875	1.5939119	0.08907281	0.0	4720000
60	0.8687499761581421	1.610379	0.08910635	0.0	4800000
61	0.925000011920929	1.6145672	0.088280536	0.0	4880000
62	0.8062499761581421	1.6145482	0.09085779	0.0	4960000
63	0.893750011920929	1.605708	0.0893264	0.0	5040000
64	0.8999999761581421	1.6326653	0.09132279	0.0	5120000
65	0.9124999642372131	1.644811	0.09266605	0.0	5200000
66	0.84375	1.6370008	0.090030394	0.0	5280000
67	0.887499988079071	1.6544302	0.09425994	0.0	5360000
68	0.8687499761581421	1.6261187	0.094612196	0.0	5440000
69	0.8374999761581421	1.6456467	0.09301062	0.0	5520000
70	0.925000011920929	1.6213542	0.09895875	0.0	5600000
71	0.887499988079071	1.6380515	0.09422712	0.0	5680000
72	0.90625	1.6766685	0.09687728	0.0	5760000
73	0.887499988079071	1.6559446	0.09521793	0.0	5840000
74	0.875	1.6531638	0.093851335	0.0	5920000
75	0.8500000238418579	1.6765506	0.09803073	0.0	6000000
76	0.8999999761581421	1.6774052	0.09515857	0.0	6080000
77	0.8687499761581421	1.6873405	0.09562723	0.0	6160000
78	0.8374999761581421	1.6923418	0.09837735	0.0	6240000
79	0.875	1.6804241	0.09497183	0.0	6320000
