Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageEntropy	TotalEnvInteracts
1	0.0	1.1942532	0.06545276	-6.935372	80000
2	0.21875	1.7644712	0.112684675	-0.7661465	160000
3	0.35624998807907104	2.140543	0.12641843	-0.17483772	240000
4	0.4124999940395355	2.5211015	0.1330404	0.3773245	320000
5	0.5562499761581421	2.8763201	0.14208774	1.2615757	400000
6	0.5375000238418579	3.1950932	0.14715856	1.8017864	480000
7	0.675000011920929	3.5049255	0.1495488	2.1895916	560000
8	0.6312499642372131	3.8082273	0.15064053	2.5591962	640000
9	0.6000000238418579	4.0941367	0.15077248	2.7389812	720000
10	0.7125000357627869	4.334635	0.1516947	2.963432	800000
11	0.65625	4.579255	0.152127	3.1938086	880000
12	0.6749999523162842	4.8220797	0.1522495	3.2567294	960000
13	0.6187499761581421	5.0597763	0.15281433	3.3259737	1040000
14	0.7562500238418579	5.2835717	0.15302362	3.4901748	1120000
15	0.6687500476837158	5.4919643	0.15334073	3.5076401	1200000
16	0.7125000357627869	5.655979	0.15368824	3.6394358	1280000
17	0.7062499523162842	5.8748813	0.15469159	3.6132188	1360000
18	0.7250000238418579	6.075774	0.1541451	3.6319275	1440000
19	0.7749999761581421	6.274254	0.15532891	3.6478071	1520000
20	0.699999988079071	6.456552	0.15523517	3.6148238	1600000
21	0.75	6.6271257	0.15629691	3.6515896	1680000
22	0.675000011920929	6.7367682	0.15614077	3.7112763	1760000
23	0.699999988079071	6.858587	0.15608183	3.7446685	1840000
24	0.71875	7.0298867	0.15611331	3.7752402	1920000
25	0.71875	7.1723	0.15731272	3.7511816	2000000
26	0.6187499761581421	7.275817	0.1563429	3.8109207	2080000
27	0.699999988079071	7.3894825	0.15767469	3.8570502	2160000
28	0.75	7.523377	0.15759961	3.8131685	2240000
29	0.71875	7.6262264	0.15898392	3.796493	2320000
30	0.65625	7.729794	0.15787828	3.8292813	2400000
31	0.6875	7.822349	0.15783894	3.853669	2480000
32	0.7124999761581421	7.9314322	0.15724783	3.8505728	2560000
33	0.7250000238418579	8.042732	0.15903817	3.8201704	2640000
34	0.78125	8.094648	0.15846308	3.863749	2720000
35	0.6812499761581421	8.189572	0.15770428	3.855271	2800000
36	0.7124999761581421	8.219175	0.1583602	3.8927271	2880000
37	0.737500011920929	8.304997	0.1584081	3.8978357	2960000
38	0.7687499523162842	8.394879	0.15915662	3.9624007	3040000
39	0.7124999761581421	8.471734	0.15889804	3.9155736	3120000
40	0.7437500357627869	8.559499	0.15957732	3.8988512	3200000
41	0.675000011920929	8.634059	0.15970731	3.8367236	3280000
42	0.6937500238418579	8.710124	0.15869452	3.8687594	3360000
43	0.731249988079071	8.757511	0.16019325	3.8756654	3440000
44	0.71875	8.805226	0.15961172	3.8844986	3520000
45	0.78125	8.860665	0.15956241	3.8847773	3600000
46	0.7749999761581421	8.927188	0.16073595	3.8353202	3680000
47	0.7562500238418579	8.974776	0.16045599	3.8729248	3760000
48	0.7250000238418579	8.993459	0.16019103	3.927473	3840000
49	0.6437499523162842	9.083895	0.15967609	3.8511937	3920000
50	0.762499988079071	9.09293	0.15939267	3.8336954	4000000
51	0.71875	9.119732	0.15908693	3.8801646	4080000
52	0.71875	9.153307	0.1570604	3.8663154	4160000
53	0.75	9.164414	0.15835828	3.945481	4240000
54	0.6812499761581421	9.177108	0.15797429	3.8661714	4320000
55	0.643750011920929	9.226429	0.15727396	3.877193	4400000
56	0.71875	9.234112	0.15748222	3.9269314	4480000
57	0.7875000238418579	9.260085	0.15857486	3.8988185	4560000
58	0.7437500357627869	9.295185	0.15692462	3.9162135	4640000
59	0.7562500238418579	9.306525	0.15604578	3.7987456	4720000
60	0.75	9.327273	0.15693167	3.8609056	4800000
61	0.75	9.35342	0.15749094	3.8877807	4880000
62	0.6437499523162842	9.353248	0.15728268	3.927095	4960000
63	0.7749999761581421	9.331558	0.15725748	3.949275	5040000
64	0.731249988079071	9.380537	0.15704642	3.9342372	5120000
65	0.7312500476837158	9.404609	0.1578103	3.9103742	5200000
66	0.7437499761581421	9.402079	0.15632328	3.9526942	5280000
67	0.7437499761581421	9.423405	0.15705536	3.9498868	5360000
68	0.7437499761581421	9.437376	0.15749696	3.948271	5440000
69	0.699999988079071	9.429602	0.15813999	3.9397783	5520000
70	0.75	9.438462	0.1579857	4.000516	5600000
71	0.7374999523162842	9.44734	0.15748337	3.9107912	5680000
72	0.7312500476837158	9.499022	0.1560196	3.9256368	5760000
73	0.6624999642372131	9.465293	0.15646572	3.8818853	5840000
74	0.737500011920929	9.485538	0.15686667	3.9246721	5920000
75	0.7250000238418579	9.502726	0.15680327	3.992132	6000000
76	0.7312500476837158	9.498185	0.15764116	3.94119	6080000
77	0.6937500238418579	9.538363	0.15677087	3.9685655	6160000
78	0.675000011920929	9.54195	0.15763348	3.9241972	6240000
79	0.762499988079071	9.522079	0.15765148	3.9952617	6320000
80	0.7749999761581421	9.507974	0.15699524	4.0010962	6400000
81	0.71875	9.531594	0.15680215	3.9185846	6480000
82	0.6937500238418579	9.567067	0.15618946	3.9304178	6560000
83	0.7124999761581421	9.535971	0.15658388	3.9569967	6640000
84	0.762499988079071	9.554186	0.15731607	3.9744368	6720000
85	0.731249988079071	9.547012	0.15718125	3.9926949	6800000
86	0.7374999523162842	9.573006	0.156664	3.9469795	6880000
87	0.7000000476837158	9.588157	0.15739086	3.9841173	6960000
88	0.675000011920929	9.609176	0.15557186	3.971708	7040000
89	0.668749988079071	9.59334	0.15617236	3.9608142	7120000
90	0.6937500238418579	9.575171	0.15752536	4.0504403	7200000
91	0.7562500238418579	9.588773	0.15569499	3.9832914	7280000
92	0.7875000238418579	9.578436	0.156952	4.0393767	7360000
93	0.6812499761581421	9.563997	0.15674108	3.9476259	7440000
94	0.6937499642372131	9.592262	0.15734729	3.9324253	7520000
95	0.706250011920929	9.615759	0.15480115	3.9790823	7600000
96	0.7562500238418579	9.588727	0.15766226	3.981799	7680000
97	0.6812499761581421	9.624556	0.15632592	3.9340894	7760000
98	0.7374999523162842	9.589551	0.15692532	4.021816	7840000
99	0.731249988079071	9.585068	0.1565054	3.9904833	7920000
100	0.7562499642372131	9.594609	0.15666053	4.018897	8000000
101	0.7250000238418579	9.588563	0.15527335	3.9105268	8080000
102	0.737500011920929	9.592859	0.1553857	3.973056	8160000
103	0.7749999761581421	9.594209	0.15570784	3.9119132	8240000
104	0.6937500238418579	9.604067	0.15621343	4.087359	8320000
105	0.731249988079071	9.591222	0.15621768	4.0023155	8400000
106	0.7687499523162842	9.601283	0.15630573	4.0556555	8480000
107	0.6875	9.594463	0.15505081	3.9983296	8560000
108	0.7875000238418579	9.614406	0.15454766	3.9812906	8640000
109	0.75	9.620809	0.15663643	4.03033	8720000
110	0.7437499761581421	9.612141	0.15566562	3.9866607	8800000
111	0.643750011920929	9.617936	0.15549935	3.9828744	8880000
112	0.7062499523162842	9.626981	0.15567473	4.0023775	8960000
113	0.668749988079071	9.612441	0.15607339	3.9442754	9040000
114	0.699999988079071	9.6055355	0.1557865	4.0636096	9120000
115	0.7625000476837158	9.6337	0.15567406	4.0182285	9200000
116	0.6937500238418579	9.616902	0.1562236	3.9888008	9280000
117	0.7250000238418579	9.613046	0.15538359	3.9189396	9360000
118	0.706250011920929	9.622804	0.15543756	3.9787164	9440000
119	0.6812499761581421	9.621785	0.1560904	4.036441	9520000
120	0.737500011920929	9.61136	0.15514955	3.965212	9600000
121	0.6749999523162842	9.613026	0.15721302	4.033961	9680000
122	0.7437500357627869	9.63442	0.15679187	3.9793165	9760000
123	0.737500011920929	9.603063	0.15631033	3.9221113	9840000
124	0.6875	9.6265955	0.15592112	4.0458713	9920000
125	0.706250011920929	9.621172	0.15517215	3.9532437	10000000
126	0.7062499523162842	9.631363	0.15519853	3.9857256	10080000
127	0.7124999761581421	9.636572	0.15597697	3.9999707	10160000
128	0.7062499523162842	9.634015	0.15627123	3.9560883	10240000
129	0.6812499761581421	9.649385	0.15437832	3.9056323	10320000
130	0.6812499761581421	9.661703	0.15454184	3.975838	10400000
131	0.7749999761581421	9.642643	0.15584077	3.9771256	10480000
132	0.75	9.655807	0.1533883	3.9886208	10560000
133	0.668749988079071	9.67909	0.15374348	3.9618907	10640000
134	0.7062499523162842	9.658724	0.15596369	4.0083294	10720000
135	0.7250000238418579	9.64749	0.15521047	3.976335	10800000
136	0.6875	9.636446	0.15466973	3.9496706	10880000
137	0.7562500238418579	9.638506	0.15436271	3.9357445	10960000
138	0.7062499523162842	9.647448	0.15489297	3.9918077	11040000
139	0.7250000238418579	9.654769	0.15424006	3.935395	11120000
140	0.668749988079071	9.635711	0.15449044	3.9268143	11200000
141	0.768750011920929	9.645303	0.15566653	4.123622	11280000
142	0.6937500238418579	9.623002	0.15516892	3.9752116	11360000
143	0.737500011920929	9.652052	0.15453228	4.0116577	11440000
144	0.768750011920929	9.641298	0.15479442	3.9437926	11520000
145	0.737500011920929	9.673806	0.15466726	4.005874	11600000
146	0.7250000238418579	9.632461	0.15468308	4.051656	11680000
147	0.7749999761581421	9.630414	0.15384726	3.9678552	11760000
148	0.7000000476837158	9.635143	0.15455796	3.9210246	11840000
149	0.7062499523162842	9.634205	0.15335117	3.9058292	11920000
150	0.699999988079071	9.658578	0.15410279	3.9194655	12000000
151	0.7437500357627869	9.633114	0.1539502	4.035771	12080000
152	0.75	9.634793	0.15461615	3.957685	12160000
153	0.7000000476837158	9.634274	0.15365487	3.9620044	12240000
154	0.7687499523162842	9.624883	0.15419447	3.9519727	12320000
155	0.75	9.623941	0.15478033	3.9704604	12400000
156	0.71875	9.630422	0.15479812	4.073438	12480000
157	0.699999988079071	9.648767	0.15470044	3.9783995	12560000
158	0.7000000476837158	9.639376	0.15459962	4.0373473	12640000
159	0.706250011920929	9.653801	0.15597217	4.077336	12720000
160	0.7250000238418579	9.640988	0.15526791	3.959078	12800000
161	0.7562500238418579	9.641041	0.15429837	3.9132006	12880000
162	0.7562500238418579	9.610847	0.1542273	4.0207524	12960000
163	0.737500011920929	9.640061	0.15425688	3.9298072	13040000
164	0.71875	9.613467	0.15403906	4.009086	13120000
165	0.7124999761581421	9.640502	0.15358596	4.0105634	13200000
166	0.71875	9.64701	0.15432322	4.0205607	13280000
167	0.737500011920929	9.6179495	0.1553249	4.0623302	13360000
168	0.737500011920929	9.630465	0.15495802	4.096389	13440000
169	0.8125	9.626805	0.15500769	4.119317	13520000
170	0.75	9.646486	0.15434265	4.0675406	13600000
171	0.75	9.639688	0.15481865	4.0587516	13680000
172	0.7437500357627869	9.651617	0.15359065	3.9858096	13760000
173	0.7124999761581421	9.671226	0.15513727	4.0413213	13840000
174	0.7875000238418579	9.67258	0.15417443	4.0644264	13920000
175	0.7250000238418579	9.6866	0.15505442	4.171214	14000000
176	0.7000000476837158	9.6900425	0.15357882	4.0998974	14080000
177	0.6624999642372131	9.676115	0.15332879	4.040458	14160000
178	0.737500011920929	9.67427	0.15522227	4.0745053	14240000
179	0.7749999761581421	9.690062	0.15402478	4.025401	14320000
180	0.731249988079071	9.729229	0.1543795	3.9591618	14400000
181	0.737500011920929	9.709551	0.1539399	3.9960923	14480000
182	0.668749988079071	9.695373	0.15588851	4.0074925	14560000
183	0.7250000238418579	9.679633	0.15324372	3.999234	14640000
184	0.6875	9.709361	0.15305872	3.9838336	14720000
185	0.731249988079071	9.709846	0.15269656	3.9161618	14800000
186	0.7562499642372131	9.704042	0.15475388	4.0514245	14880000
187	0.6937499642372131	9.719703	0.15349673	4.0357666	14960000
188	0.768750011920929	9.688918	0.15508881	4.1287518	15040000
189	0.7124999761581421	9.698892	0.15412158	4.2002325	15120000
190	0.737500011920929	9.682846	0.15531397	4.098977	15200000
191	0.737500011920929	9.703658	0.1528957	3.941013	15280000
