Epoch	SuccessRate	AverageLossPi	AverageLossQ	TotalEnvInteracts
1	0.05624999850988388	1.4563498	0.04791772	80000
2	0.13125000894069672	2.6033742	0.09752646	160000
3	0.13750000298023224	3.8634884	0.14091836	240000
4	0.11874999850988388	5.1217117	0.14680552	320000
5	0.18125000596046448	6.3499346	0.14629441	400000
6	0.14375001192092896	7.566455	0.1465614	480000
7	0.16875000298023224	8.75117	0.1463861	560000
8	0.15625	9.847377	0.14696495	640000
9	0.2562499940395355	10.901439	0.1486251	720000
10	0.16249999403953552	11.951508	0.14867437	800000
11	0.15000000596046448	12.9347105	0.15048069	880000
12	0.25	13.864009	0.15227225	960000
13	0.3062500059604645	14.760039	0.15224347	1040000
14	0.375	15.589094	0.15123565	1120000
15	0.35625001788139343	16.409576	0.14973716	1200000
16	0.20624999701976776	17.181183	0.14814644	1280000
17	0.33125001192092896	17.909798	0.14811343	1360000
18	0.3187500238418579	18.60716	0.14912266	1440000
19	0.36250001192092896	19.302141	0.14847973	1520000
20	0.3125	19.938082	0.15072417	1600000
21	0.3187500238418579	20.586716	0.14917648	1680000
22	0.28125	21.184067	0.15105782	1760000
23	0.26249998807907104	21.777607	0.150291	1840000
24	0.32499998807907104	22.332788	0.14818344	1920000
25	0.3187499940395355	22.828081	0.14963257	2000000
26	0.33125001192092896	23.351637	0.14869156	2080000
27	0.3187500238418579	23.826164	0.14983962	2160000
28	0.33125001192092896	24.324976	0.14841115	2240000
29	0.41874998807907104	24.806366	0.14740598	2320000
30	0.3062500059604645	25.244843	0.14812106	2400000
31	0.2562499940395355	25.681581	0.14793667	2480000
32	0.23749999701976776	26.134817	0.14672771	2560000
33	0.26249998807907104	26.52338	0.14736816	2640000
34	0.3687500059604645	26.877125	0.1462735	2720000
35	0.25	27.260366	0.14677675	2800000
36	0.3187500238418579	27.590462	0.14654498	2880000
37	0.2749999761581421	27.895811	0.14916895	2960000
38	0.3437500298023224	28.259447	0.14575708	3040000
39	0.3500000238418579	28.553799	0.1468169	3120000
40	0.3187499940395355	28.870363	0.1456803	3200000
41	0.23125000298023224	29.162283	0.14883274	3280000
42	0.2562500238418579	29.407036	0.14666675	3360000
43	0.3187500238418579	29.63109	0.14606912	3440000
44	0.24375000596046448	29.896946	0.14429472	3520000
45	0.26249998807907104	30.14818	0.1453091	3600000
46	0.34375	30.32652	0.14355801	3680000
47	0.29375001788139343	30.56139	0.14642607	3760000
48	0.32499998807907104	30.798344	0.14608526	3840000
49	0.3125	31.000536	0.14349896	3920000
50	0.2875000238418579	31.18029	0.1425976	4000000
51	0.26249998807907104	31.35034	0.14391407	4080000
52	0.29374998807907104	31.519691	0.14134257	4160000
53	0.29374998807907104	31.692764	0.14266245	4240000
54	0.23124998807907104	31.855396	0.14286213	4320000
55	0.21875	32.027386	0.1416559	4400000
56	0.29375001788139343	32.153694	0.1413353	4480000
57	0.32500001788139343	32.325108	0.14061145	4560000
58	0.33125001192092896	32.45644	0.14416167	4640000
59	0.30000001192092896	32.565945	0.14067316	4720000
60	0.3187500238418579	32.71173	0.14276734	4800000
61	0.40625	32.860004	0.14095546	4880000
62	0.19375000894069672	32.960163	0.14185502	4960000
63	0.26249998807907104	33.03415	0.14227247	5040000
64	0.26875001192092896	33.13651	0.14338419	5120000
65	0.21250000596046448	33.214657	0.14180692	5200000
66	0.3125	33.34062	0.14163643	5280000
67	0.32499998807907104	33.423122	0.14127152	5360000
68	0.2874999940395355	33.519398	0.14056684	5440000
